SampleID	StationName	DateMMDDYY	DepthName	sequencing ID	CollectionAgency	sequencing_ID	Month	Year	Month_Year	Salinity_Group	Time	Actual Depth (m)	Temp (°C)	Conductivity (μS/cm)	Specific Conductivity (μS/cm)	Total Dissolved Solids (mg/L)	Salinity (PSU)	ODO (% sat)	ODO (mg/L)	Pressure (psi)	pH	ORP (mV)	Turbidity (FNU)	Station	CHLA	DIN	DO	DOC	DON	DOP	FSS	KD	NH4F	NO23F	NO2F	NO3F	PC	PH	PHEO	PN	PO4F	PP	SALINITY	SECCHI	SIF	SIGMA_T	SPCOND	TDN	TDP	TN	TON	TP	TSS	VSS	WTEMP	TotalDepth
SB061815TAWCSCB33CD0BR1TR1I3	CB33C	061815	00	sprehei1_123382	Preheim	spr12	06	15	06 15	Mesohaline																																														
SB061815TAWCSCB33CD1BR1TR1I4	CB33C	061815	01	sprehei1_123382	Preheim	spr12	06	15	06 15	Mesohaline	09:07:00	0.957	23.92	14651.6	14953.1	9723.0	1.353				7.48	117.8	2.63																																	
SB061815TAWCSCB33CD2BR1TR1I5	CB33C	061815	02	sprehei1_123382	Preheim	spr12	06	15	06 15	Mesohaline	09:18:12	2.1260000000000003	23.802500000000002	14925.55	15286.599999999999	9940.0	3.0305				7.52	109.65	2.4299999999999997																																	
SB061815TAWCSCB33CD3BR1TR1I6	CB33C	061815	03	sprehei1_123382	Preheim	spr12	06	15	06 15	Mesohaline																																														
SB061815TAWCSCB33CD4BR1TR1I7	CB33C	061815	04	sprehei1_123382	Preheim	spr12	06	15	06 15	Mesohaline	09:56:45	3.897	23.684	15226.9	15631.8	10165.0	5.556				7.43	115.0	2.31																																	
SB061815TAWCSCB33CD5BR1TR1I8	CB33C	061815	05	sprehei1_123382	Preheim	spr12	06	15	06 15	Mesohaline																																														
SB061815TAWCSCB33CD6BR1TR1I9	CB33C	061815	06	sprehei1_123382	Preheim	spr12	06	15	06 15	Mesohaline	10:22:09	6.071	23.355	17517.0	18371.0	11821.0	8.664				7.16	122.0	1.9																																	
SB061815TAWCSCB33CD7BR1TR1I10	CB33C	061815	07	sprehei1_123382	Preheim	spr12	06	15	06 15	Mesohaline	10:37:04	7.029	22.339	17550.4	18400.2	11878.0	10.023				7.11	125.2	1.78																																	
SB061815TAWCSCB33CD8BR1TR1I11	CB33C	061815	08	sprehei1_123382	Preheim	spr12	06	15	06 15	Mesohaline	10:46:57	8.026	21.971	18109.0	19224.5	12495.0	11.46				7.03	127.0	1.79																																	
SB061815TAWCSCB33CD10BR1TR1I13	CB33C	061815	10	sprehei1_123382	Preheim	spr12	06	15	06 15	Mesohaline	11:09:10	10.041	20.905	20349.2	22071.2	14357.0	14.372				6.95	129.8	1.44																																	
