OTU567; Root; (rootrank, 31%); unclassified_Root; (domain, 31%)
OTU583; Root; (rootrank, 23%); unclassified_Root; (domain, 23%)
OTU601; Root; (rootrank, 31%); unclassified_Root; (domain, 31%)
OTU636; Root; (rootrank, 24%); unclassified_Root; (domain, 24%)
OTU657; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU726; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU845; Root; (rootrank, 33%); unclassified_Root; (domain, 33%)
OTU850; Root; (rootrank, 31%); unclassified_Root; (domain, 31%)
OTU878; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU1122; Root; (rootrank, 31%); unclassified_Root; (domain, 31%)
OTU1139; Root; (rootrank, 30%); unclassified_Root; (domain, 30%)
OTU1144; Root; (rootrank, 29%); unclassified_Root; (domain, 29%)
OTU1210; Root; (rootrank, 30%); unclassified_Root; (domain, 30%)
OTU1242; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU1267; Root; (rootrank, 35%); unclassified_Root; (domain, 35%)
OTU1486; Root; (rootrank, 22%); unclassified_Root; (domain, 22%)
OTU1539; Root; (rootrank, 25%); unclassified_Root; (domain, 25%)
OTU1561; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU1718; Root; (rootrank, 24%); unclassified_Root; (domain, 24%)
OTU1721; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU1871; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU1909; Root; (rootrank, 24%); unclassified_Root; (domain, 24%)
OTU1940; Root; (rootrank, 30%); unclassified_Root; (domain, 30%)
OTU1945; Root; (rootrank, 30%); unclassified_Root; (domain, 30%)
OTU1974; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU2117; Root; (rootrank, 23%); unclassified_Root; (domain, 23%)
OTU2132; Root; (rootrank, 100%); Archaea; (domain, 100%); Asgardarchaeota; (phylum, 100%); Heimdallarchaeia; (class, 100%); LC-2; (order, 100%); LC-2; (family, 100%); GCA-2728275; (genus, 100%)
OTU2231; Root; (rootrank, 23%); unclassified_Root; (domain, 23%)
OTU2237; Root; (rootrank, 28%); unclassified_Root; (domain, 28%)
OTU2246; Root; (rootrank, 30%); unclassified_Root; (domain, 30%)
OTU2328; Root; (rootrank, 26%); unclassified_Root; (domain, 26%)
OTU2469; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU2522; Root; (rootrank, 31%); unclassified_Root; (domain, 31%)
OTU2529; Root; (rootrank, 30%); unclassified_Root; (domain, 30%)
OTU2702; Root; (rootrank, 28%); unclassified_Root; (domain, 28%)
OTU2777; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU2809; Root; (rootrank, 33%); unclassified_Root; (domain, 33%)
OTU2830; Root; (rootrank, 32%); unclassified_Root; (domain, 32%)
OTU2919; Root; (rootrank, 25%); unclassified_Root; (domain, 25%)
OTU3007; Root; (rootrank, 29%); unclassified_Root; (domain, 29%)
