Samples	DepthName	DateMMDDYY	Month	Year	StationName	CollectionAgency
SB061815TAWCSCB33CD0BR1TR1I3	00	061815	06	15	CB33C	Preheim
SB061815TAWCSCB33CD1BR1TR1I4	01	061815	06	15	CB33C	Preheim
SB061815TAWCSCB33CD2BR1TR1I5	02	061815	06	15	CB33C	Preheim
SB061815TAWCSCB33CD3BR1TR1I6	03	061815	06	15	CB33C	Preheim
SB061815TAWCSCB33CD4BR1TR1I7	04	061815	06	15	CB33C	Preheim
SB061815TAWCSCB33CD6BR1TR1I9	06	061815	06	15	CB33C	Preheim
SB061815TAWCSCB33CD7BR1TR1I10	07	061815	06	15	CB33C	Preheim
SB061815TAWCSCB33CD8BR1TR1I11	08	061815	06	15	CB33C	Preheim
SB061815TAWCSCB33CD10BR1TR1I13	10	061815	06	15	CB33C	Preheim
SB061815TAWCSCB33CD11BR1TR1I15	11	061815	06	15	CB33C	Preheim
SB061815TAWCSCB33CD13BR1TR1I17	13	061815	06	15	CB33C	Preheim
SB061815TAWCSCB33CD14BR1TR1I18	14	061815	06	15	CB33C	Preheim
SB061815TAWCSCB33CD17BR1TR1I21	17	061815	06	15	CB33C	Preheim
SB061815TAWCSCB33CD18BR1TR1I22	18	061815	06	15	CB33C	Preheim
SB072215TAWCSCB33CD0BR1TR1I27	00	072215	07	15	CB33C	Preheim
SB072215TAWCSCB33CD2BR1TR1I29	02	072215	07	15	CB33C	Preheim
SB072215TAWCSCB33CD3BR1TR1I30	03	072215	07	15	CB33C	Preheim
SB072215TAWCSCB33CD4BR1TR1I31	04	072215	07	15	CB33C	Preheim
SB072215TAWCSCB33CD6BR1TR1I33	06	072215	07	15	CB33C	Preheim
SB072215TAWCSCB33CD7BR1TR1I34	07	072215	07	15	CB33C	Preheim
SB072215TAWCSCB33CD9BR1TR1I36	09	072215	07	15	CB33C	Preheim
SB072215TAWCSCB33CD10BR1TR1I37	10	072215	07	15	CB33C	Preheim
SB072215TAWCSCB33CD11BR1TR1I39	11	072215	07	15	CB33C	Preheim
SB072215TAWCSCB33CD12BR1TR1I40	12	072215	07	15	CB33C	Preheim
SB072215TAWCSCB33CD13BR1TR1I41	13	072215	07	15	CB33C	Preheim
SB072215TAWCSCB33CD14BR1TR1I42	14	072215	07	15	CB33C	Preheim
SB072215TAWCSCB33CD15BR1TR1I43	15	072215	07	15	CB33C	Preheim
SB072215TAWCSCB33CD18BR1TR1I44	18	072215	07	15	CB33C	Preheim
SB072215TAWCSCB33CD20BR1TR1I45	20	072215	07	15	CB33C	Preheim
SB072215TAWCSCB33CD22BR1TR1I46	22	072215	07	15	CB33C	Preheim
SB082015TAWCSCB33CD0BR1TR1I51	00	082015	08	15	CB33C	Preheim
SB082015TAWCSCB33CD1BR1TR1I52	01	082015	08	15	CB33C	Preheim
SB082015TAWCSCB33CD3BR1TR1I54	03	082015	08	15	CB33C	Preheim
SB082015TAWCSCB33CD4BR1TR1I55	04	082015	08	15	CB33C	Preheim
SB082015TAWCSCB33CD7BR1TR1I58	07	082015	08	15	CB33C	Preheim
SB082015TAWCSCB33CD8BR1TR1I59	08	082015	08	15	CB33C	Preheim
SB082015TAWCSCB33CD9BR1TR1I60	09	082015	08	15	CB33C	Preheim
SB082015TAWCSCB33CD10BR1TR1I61	10	082015	08	15	CB33C	Preheim
SB082015TAWCSCB33CD11BR1TR1I63	11	082015	08	15	CB33C	Preheim
SB082015TAWCSCB33CD12BR1TR1I64	12	082015	08	15	CB33C	Preheim
SB082015TAWCSCB33CD13BR1TR1I65	13	082015	08	15	CB33C	Preheim
SB082015TAWCSCB33CD14BR1TR1I66	14	082015	08	15	CB33C	Preheim
SB082015TAWCSCB33CD15BR1TR1I67	15	082015	08	15	CB33C	Preheim
SB082015TAWCSCB33CD16BR1TR1I68	16	082015	08	15	CB33C	Preheim
SB082015TAWCSCB33CD17BR1TR1I69	17	082015	08	15	CB33C	Preheim
SB082015TAWCSCB33CD18BR1TR1I70	18	082015	08	15	CB33C	Preheim
SB082015TAWCSCB33CD19BR1TR1I71	19	082015	08	15	CB33C	Preheim
SB082015TAWCSCB33CD20BR1TR1I74	20	082015	08	15	CB33C	Preheim
SB062716TAWCSCB33CD1BR2TR1I80	01	062716	06	16	CB33C	Preheim
SB062716TAWCSCB33CD0BR2TR1I78	00	062716	06	16	CB33C	Preheim
SB062716TAWCSCB33CD2BR1TR1I81	02	062716	06	16	CB33C	Preheim
SB062716TAWCSCB33CD4BR1TR1I82	04	062716	06	16	CB33C	Preheim
SB062716TAWCSCB33CD6BR1TR1I83	06	062716	06	16	CB33C	Preheim
