# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-25 19:59:27 EDT       (nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01570500 Susquehanna River at Harrisburg, PA
# -----------------------------------------------------------------------------------
#
# Data provided for site 01570500
#            TS   parameter     Description
#        122065       00060     Discharge, cubic feet per second
#        122066       00065     Gage height, feet
#        122072       00045     Precipitation, total, inches
#        122073       00010     Temperature, water, degrees Celsius, WALNUT ST PIER
#        122074       00095     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius, WALNUT ST PIER
#        122075       00400     pH, water, unfiltered, field, standard units, WALNUT ST PIER
#        122076       00300     Dissolved oxygen, water, unfiltered, milligrams per liter, WALNUT ST PIER
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	tz_cd	122065_00060	122065_00060_cd	122066_00065	122066_00065_cd	122073_00010	122073_00010_cd	122074_00095	122074_00095_cd
5s	15s	20d	6s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	01570500	2015-03-15 00:00	EDT			7.56	A				
USGS	01570500	2015-03-15 00:30	EDT			7.59	A				
USGS	01570500	2015-03-15 01:00	EDT			7.62	A				
USGS	01570500	2015-03-15 01:30	EDT			7.65	A				
USGS	01570500	2015-03-15 02:00	EDT			7.69	A				
USGS	01570500	2015-03-15 02:30	EDT			7.75	A				
USGS	01570500	2015-03-15 03:00	EDT			7.81	A				
USGS	01570500	2015-03-15 03:30	EDT			7.84	A				
USGS	01570500	2015-03-15 04:00	EDT			7.86	A				
USGS	01570500	2015-03-15 04:30	EDT			7.87	A				
USGS	01570500	2015-03-15 05:00	EDT			7.89	A				
USGS	01570500	2015-03-15 05:30	EDT			7.92	A				
USGS	01570500	2015-03-15 06:00	EDT			7.95	A				
USGS	01570500	2015-03-15 06:30	EDT			7.99	A				
USGS	01570500	2015-03-15 07:00	EDT			8.05	A				
USGS	01570500	2015-03-15 07:30	EDT			8.11	A				
USGS	01570500	2015-03-15 08:00	EDT			8.16	A				
USGS	01570500	2015-03-15 08:30	EDT			8.21	A				
USGS	01570500	2015-03-15 09:00	EDT			8.17	A				
USGS	01570500	2015-03-15 09:30	EDT			8.15	A				
USGS	01570500	2015-03-15 10:00	EDT			8.14	A				
USGS	01570500	2015-03-15 10:30	EDT			8.12	A				
USGS	01570500	2015-03-15 11:00	EDT			8.05	A				
USGS	01570500	2015-03-15 11:30	EDT			8.01	A				
USGS	01570500	2015-03-15 12:00	EDT			8.00	A				
USGS	01570500	2015-03-15 12:30	EDT			7.99	A				
USGS	01570500	2015-03-15 13:00	EDT			7.98	A				
USGS	01570500	2015-03-15 13:30	EDT			7.98	A				
USGS	01570500	2015-03-15 14:00	EDT			8.00	A				
USGS	01570500	2015-03-15 14:30	EDT			8.04	A				
USGS	01570500	2015-03-15 15:00	EDT			8.10	A				
USGS	01570500	2015-03-15 15:30	EDT			8.22	A				
USGS	01570500	2015-03-15 16:00	EDT			8.28	A				
USGS	01570500	2015-03-15 16:30	EDT			8.30	A				
USGS	01570500	2015-03-15 17:00	EDT			8.30	A				
USGS	01570500	2015-03-15 17:30	EDT			8.29	A				
USGS	01570500	2015-03-15 18:00	EDT			8.28	A				
