"StationName"	"depth_float"	"Latitude"	"Longitude"	"RawCount"	"TrimCount"	"CollectionAgency"	"sequencing_ID"	"Month"	"Year"	"Month_Year"	"julian_day"	"day_length"	"anti_day_length"	"julian_seconds"	"Depth_Percentage"	"Discharge_James_14"	"Discharge_Susquehanna_14"	"enspie"	"faith_pd"	"WTEMP"	"SALINITY"	"DO"	"PH"	"habitat"
"SB072215TAWCSCB33CD0BR1TR1I27"	"CB33C"	0	38.996616	-76.358887	254796	59350	"Preheim"	"spr12"	7	15	"07 15"	214	0.856550995901004	0.516062391015853	32820	0	70242.2916666667	643638.611111111	31.9582725708007	14.266295	26.84	4.86	8.1	8.36	3
"SB072215TAWCSCB33CD2BR1TR1I29"	"CB33C"	2	38.996601	-76.35878	215775	55753	"Preheim"	"spr12"	7	15	"07 15"	214	0.856550995901004	0.516062391015853	34165	0.0789149198520345	70242.2916666667	643638.611111111	52.4568459189235	33.4467625	27.076	5.96	7.18	8.25	3
"SB072215TAWCSCB33CD3BR1TR1I30"	"CB33C"	3	38.996552	-76.358704	223624	44663	"Preheim"	"spr12"	7	15	"07 15"	214	0.856550995901004	0.516062391015853	34823	0.118372379778052	70242.2916666667	643638.611111111	48.3881459826666	32.621803	27.057	6.72	6.47	8.1	3
"SB072215TAWCSCB33CD4BR1TR1I31"	"CB33C"	4	38.996449	-76.358398	167871	53555	"Preheim"	"spr12"	7	15	"07 15"	214	0.856550995901004	0.516062391015853	35805	0.157829839704069	70242.2916666667	643638.611111111	53.2685146194854	33.8416665	26.882	6.67	6.86	8.2	3
"SB072215TAWCSCB33CD6BR1TR1I33"	"CB33C"	6	38.996384	-76.358269	195209	59982	"Preheim"	"spr12"	7	15	"07 15"	214	0.856550995901004	0.516062391015853	37329	0.236744759556104	70242.2916666667	643638.611111111	38.94773279341	11.312599	25.884	10.1	3.15	7.5	1
"SB072215TAWCSCB33CD7BR1TR1I34"	"CB33C"	7	38.996384	-76.358253	226595	69605	"Preheim"	"spr12"	7	15	"07 15"	214	0.856550995901004	0.516062391015853	38224	0.276202219482121	70242.2916666667	643638.611111111	25.7179111571659	9.461247	25.344	11.72	1.4	7.27	2
"SB072215TAWCSCB33CD9BR1TR1I36"	"CB33C"	9	38.996319	-76.358353	518545	151122	"Preheim"	"spr12"	7	15	"07 15"	214	0.856550995901004	0.516062391015853	39465	0.355117139334155	70242.2916666667	643638.611111111	39.736156899633	13.753313	24.66	13.71	0.14	7.18	2
"SB072215TAWCSCB33CD10BR1TR1I37"	"CB33C"	10	38.996334	-76.358368	386591	60610	"Preheim"	"spr12"	7	15	"07 15"	214	0.856550995901004	0.516062391015853	40150	0.394574599260173	70242.2916666667	643638.611111111	51.2928642525363	33.577747	24.418	14.48	-0.02	7.19	2
"SB072215TAWCSCB33CD11BR1TR1I39"	"CB33C"	11	38.996349	-76.358437	232556	36075	"Preheim"	"spr12"	7	15	"07 15"	214	0.856550995901004	0.516062391015853	44384	0.43403205918619	70242.2916666667	643638.611111111	42.6903632827918	31.9876945	24.255	16.03	-0.03	7.24	2
"SB072215TAWCSCB33CD12BR1TR1I40"	"CB33C"	12	38.996334	-76.358498	145922	49867	"Preheim"	"spr12"	7	15	"07 15"	214	0.856550995901004	0.516062391015853	40868	0.473489519112207	70242.2916666667	643638.611111111	9.61744731686909	9.9342	24.024	16.35	-0.03	7.23	2
"SB072215TAWCSCB33CD13BR1TR1I41"	"CB33C"	13	38.996319	-76.358521	81124	26053	"Preheim"	"spr12"	7	15	"07 15"	214	0.856550995901004	0.516062391015853	43691	0.512946979038224	70242.2916666667	643638.611111111	9.32710531979616	9.715637	24.096	16.71	-0.03	7.25	2
"SB072215TAWCSCB33CD18BR1TR1I44"	"CB33C"	18	38.9963	-76.358452	63383	19086	"Preheim"	"spr12"	7	15	"07 15"	214	0.856550995901004	0.516062391015853	41764	0.710234278668311	70242.2916666667	643638.611111111	9.07109596904706	12.904216	23.79	18.1	-0.03	7.24	2
"SB072215TAWCSCB33CD20BR1TR1I45"	"CB33C"	20	38.996449	-76.358467	106413	26152	"Preheim"	"spr12"	7	15	"07 15"	214	0.856550995901004	0.516062391015853	42352	0.789149198520345	70242.2916666667	643638.611111111	11.2305339310283	10.8230575	23.739	18.4	-0.03	7.25	2
"SB082015TAWCSCB33CD1BR1TR1I52"	"CB33C"	1	39.000233	-76.360085	691822	189989	"Preheim"	"spr12"	8	15	"08 15"	243	0.50496105472152	0.863142128049912	29580	0.0394574599260173	27821.875	133004.375	39.8085204316585	17.752263	26.943	11.68	6.11	7.95	2
"SB082015TAWCSCB33CD3BR1TR1I54"	"CB33C"	3	39.000233	-76.360085	360673	62330	"Preheim"	"spr12"	8	15	"08 15"	243	0.50496105472152	0.863142128049912	30660	0.118372379778052	27821.875	133004.375	48.4873991869849	32.153363	26.968	11.72	6.14	7.96	2
"SB082015TAWCSCB33CD4BR1TR1I55"	"CB33C"	4	39.000233	-76.360085	247043	20165	"Preheim"	"spr12"	8	15	"08 15"	243	0.50496105472152	0.863142128049912	31020	0.157829839704069	27821.875	133004.375	24.4546277419738	30.4596525	26.972	11.74	6.08	7.96	2
"SB082015TAWCSCB33CD7BR1TR1I58"	"CB33C"	7	39.000233	-76.360085	240149	73487	"Preheim"	"spr12"	8	15	"08 15"	243	0.50496105472152	0.863142128049912	32100	0.276202219482121	27821.875	133004.375	22.471912607575	11.049895	26.929	12.04	5.61	7.89	2
"SB082015TAWCSCB33CD8BR1TR1I59"	"CB33C"	8	39.000233	-76.360085	272597	60856	"Preheim"	"spr12"	8	15	"08 15"	243	0.50496105472152	0.863142128049912	32400	0.315659679408138	27821.875	133004.375	13.3708075231325	7.451348	26.901	12.05	5.32	7.85	2
"SB082015TAWCSCB33CD9BR1TR1I60"	"CB33C"	9	39.000233	-76.360085	433023	7109	"Preheim"	"spr12"	8	15	"08 15"	243	0.50496105472152	0.863142128049912	32700	0.355117139334155	27821.875	133004.375	15.4284204417786	9.672377	26.877	12.07	5.12	7.81	2
