Sample	enspie	observed_otus	faith_pd
SB072215TAWCSCB33CD0BR1TR1I27	31.95827257080069	48.0	14.266295
SB072215TAWCSCB33CD2BR1TR1I29	52.45684591892354	236.0	33.4467625
SB072215TAWCSCB33CD3BR1TR1I30	48.3881459826666	221.0	32.621803
SB072215TAWCSCB33CD4BR1TR1I31	53.26851461948536	239.0	33.841666499999995
SB072215TAWCSCB33CD6BR1TR1I33	38.94773279340997	57.0	11.312599
SB072215TAWCSCB33CD7BR1TR1I34	25.717911157165858	37.0	9.461247
SB072215TAWCSCB33CD9BR1TR1I36	39.736156899633045	74.0	13.753313
SB072215TAWCSCB33CD10BR1TR1I37	51.29286425253632	238.0	33.577746999999995
SB072215TAWCSCB33CD11BR1TR1I39	42.69036328279179	214.0	31.9876945
SB072215TAWCSCB33CD12BR1TR1I40	9.617447316869088	45.0	9.9342
SB072215TAWCSCB33CD13BR1TR1I41	9.327105319796164	50.0	9.715637
SB072215TAWCSCB33CD18BR1TR1I44	9.07109596904706	55.0	12.904216
SB072215TAWCSCB33CD20BR1TR1I45	11.230533931028322	54.0	10.8230575
SB082015TAWCSCB33CD1BR1TR1I52	39.80852043165851	82.0	17.752263
SB082015TAWCSCB33CD3BR1TR1I54	48.48739918698487	222.0	32.153363
SB082015TAWCSCB33CD4BR1TR1I55	24.45462774197379	189.0	30.4596525
SB082015TAWCSCB33CD7BR1TR1I58	22.471912607574968	48.0	11.049895
SB082015TAWCSCB33CD8BR1TR1I59	13.370807523132491	23.0	7.451348000000001
SB082015TAWCSCB33CD9BR1TR1I60	15.428420441778552	22.0	9.672377
SB082015TAWCSCB33CD10BR1TR1I61	41.791972476267894	241.0	34.2918195
SB082015TAWCSCB33CD11BR1TR1I63	52.31545608441037	249.0	34.925613500000004
SB082015TAWCSCB33CD12BR1TR1I64	30.61391592790093	199.5	32.696595
SB082015TAWCSCB33CD13BR1TR1I65	29.817246664456395	208.0	33.555797999999996
SB082015TAWCSCB33CD14BR1TR1I66	25.375451501934556	198.0	33.494033
SB082015TAWCSCB33CD15BR1TR1I67	23.76819620534533	185.0	33.7510465
SB082015TAWCSCB33CD16BR1TR1I68	29.841452167712546	259.0	39.235217
SB082015TAWCSCB33CD17BR1TR1I69	26.53670737267493	237.0	37.9323335
SB082015TAWCSCB33CD18BR1TR1I70	31.095492786109318	251.5	40.8149685
SB082015TAWCSCB33CD19BR1TR1I71	34.02188468963553	239.5	39.7734005
SB082015TAWCSCB33CD20BR1TR1I74	10.62439383579102	270.5	45.986583
SB062716TAWCSCB33CD1BR2TR1I80	66.02446948930393	249.5	35.0228905
SB062716TAWCSCB33CD2BR1TR1I81	86.99937209799675	301.0	43.1255825
SB062716TAWCSCB33CD4BR1TR1I82	67.20144067610633	257.0	36.41906
SB062716TAWCSCB33CD6BR1TR1I83	62.71020740267106	259.0	36.6501055
SB062716TAWCSCB33CD8BR1TR1I84	88.39824584882723	294.0	42.42807
SB062716TAWCSCB33CD10BR1TR1I85	94.31263303374428	319.0	44.585502500000004
SB062716TAWCSCB33CD12BR2TR1I87	79.63992303990503	321.0	45.665344
SB062716TAWCSCB33CD14BR1TR1I88	67.66088788762275	251.0	34.523509000000004
SB062716TAWCSCB33CD16BR1TR1I89	55.67439202716073	266.0	37.334769
SB062716TAWCSCB33CD18BR1TR1I90	58.54442417407606	275.0	38.374855
SB062716TAWCSCB33CD21BR1TR1I92	60.61015534253208	287.5	41.492390500000006
SB071116TAWCSCB22D11BR2TR2I616	39.20869072924971	268.5	38.5287905
SB072516TAWCSCB33CD0BR1TR2I620	38.784212496835934	274.0	41.2717415
SB072516TAWCSCB33CD0BR2TR1I96	26.743102451546626	282.0	41.25342600000001
SB072516TAWCSCB33CD4BR1TR1I102	33.91772286092966	302.5	43.0342435
SB072516TAWCSCB33CD6BR1TR1I104	18.25915802529707	268.0	39.545995
SB072516TAWCSCB33CD8BR1TR1I107	44.339204259022615	312.0	45.576391
SB071116TAWCSCB33CD24BR1TR2I611	69.4034594208686	307.0	46.648208
SB071116TAWCSCB43CD26BR1TR1I151	47.414729120647756	163.0	36.922038
