Samples	StationName	depth_float	Latitude	Longitude	RawCount	TrimCount	CollectionAgency	sequencing_ID	Month	Year	Month_Year	julian_day	day_length	anti_day_length	julian_seconds	Depth_Percentage	Discharge_James_14	Discharge_Susquehanna_14	enspie	faith_pd	Temp (°C)	Salinity (PSU)	ODO (mg/L)	pH
SB072215TAWCSCB33CD0BR1TR1I27	CB33C	0.0	38.996616	-76.358887	254796.0	59350.0	Preheim	spr12	07	15	07 15	214	0.8565509959010037	0.5160623910158526	32820	0.0	70242.29166666667	643638.6111111112	31.95827257080069	14.266295000000001	26.84	4.86	8.1	8.36
SB072215TAWCSCB33CD2BR1TR1I29	CB33C	2.0	38.996601	-76.35878	215775.0	55753.0	Preheim	spr12	07	15	07 15	214	0.8565509959010037	0.5160623910158526	34165	0.07891491985203453	70242.29166666667	643638.6111111112	52.45684591892354	33.4467625	27.076	5.96	7.18	8.25
SB072215TAWCSCB33CD3BR1TR1I30	CB33C	3.0	38.996552	-76.358704	223624.0	44663.0	Preheim	spr12	07	15	07 15	214	0.8565509959010037	0.5160623910158526	34823	0.11837237977805179	70242.29166666667	643638.6111111112	48.3881459826666	32.621803	27.057	6.72	6.47	8.1
SB072215TAWCSCB33CD4BR1TR1I31	CB33C	4.0	38.996449	-76.358398	167871.0	53555.0	Preheim	spr12	07	15	07 15	214	0.8565509959010037	0.5160623910158526	35805	0.15782983970406905	70242.29166666667	643638.6111111112	53.26851461948536	33.841666499999995	26.882	6.67	6.86	8.2
SB072215TAWCSCB33CD6BR1TR1I33	CB33C	6.0	38.996384	-76.358269	195209.0	59982.0	Preheim	spr12	07	15	07 15	214	0.8565509959010037	0.5160623910158526	37329	0.23674475955610358	70242.29166666667	643638.6111111112	38.94773279340997	11.312599	25.884	10.1	3.15	7.5
SB072215TAWCSCB33CD7BR1TR1I34	CB33C	7.0	38.996384	-76.358253	226595.0	69605.0	Preheim	spr12	07	15	07 15	214	0.8565509959010037	0.5160623910158526	38224	0.2762022194821208	70242.29166666667	643638.6111111112	25.717911157165858	9.461247	25.344	11.72	1.4	7.27
SB072215TAWCSCB33CD9BR1TR1I36	CB33C	9.0	38.996319	-76.358353	518545.0	151122.0	Preheim	spr12	07	15	07 15	214	0.8565509959010037	0.5160623910158526	39465	0.35511713933415534	70242.29166666667	643638.6111111112	39.736156899633045	13.753313	24.66	13.71	0.14	7.18
SB072215TAWCSCB33CD10BR1TR1I37	CB33C	10.0	38.996334	-76.358368	386591.0	60610.0	Preheim	spr12	07	15	07 15	214	0.8565509959010037	0.5160623910158526	40150	0.39457459926017263	70242.29166666667	643638.6111111112	51.29286425253632	33.577746999999995	24.418	14.48	-0.02	7.19
SB072215TAWCSCB33CD11BR1TR1I39	CB33C	11.0	38.996349	-76.358437	232556.0	36075.0	Preheim	spr12	07	15	07 15	214	0.8565509959010037	0.5160623910158526	44384	0.43403205918618987	70242.29166666667	643638.6111111112	42.69036328279179	31.9876945	24.255	16.03	-0.03	7.24
SB072215TAWCSCB33CD12BR1TR1I40	CB33C	12.0	38.996334	-76.358498	145922.0	49867.0	Preheim	spr12	07	15	07 15	214	0.8565509959010037	0.5160623910158526	40868	0.47348951911220716	70242.29166666667	643638.6111111112	9.617447316869088	9.9342	24.024	16.35	-0.03	7.23
SB072215TAWCSCB33CD13BR1TR1I41	CB33C	13.0	38.996319	-76.358521	81124.0	26053.0	Preheim	spr12	07	15	07 15	214	0.8565509959010037	0.5160623910158526	43691	0.5129469790382244	70242.29166666667	643638.6111111112	9.327105319796164	9.715637	24.096	16.71	-0.03	7.25
SB072215TAWCSCB33CD18BR1TR1I44	CB33C	18.0	38.9963	-76.358452	63383.0	19086.0	Preheim	spr12	07	15	07 15	214	0.8565509959010037	0.5160623910158526	41764	0.7102342786683107	70242.29166666667	643638.6111111112	9.07109596904706	12.904216	23.79	18.1	-0.03	7.24
SB072215TAWCSCB33CD20BR1TR1I45	CB33C	20.0	38.996449	-76.358467	106413.0	26152.0	Preheim	spr12	07	15	07 15	214	0.8565509959010037	0.5160623910158526	42352	0.7891491985203453	70242.29166666667	643638.6111111112	11.230533931028322	10.823057499999999	23.739	18.4	-0.03	7.25
SB082015TAWCSCB33CD1BR1TR1I52	CB33C	1.0	39.000233	-76.360085	691822.0	189989.0	Preheim	spr12	08	15	08 15	243	0.5049610547215202	0.8631421280499115	29580	0.03945745992601726	27821.875	133004.37500000003	39.80852043165851	17.752263	26.943	11.68	6.11	7.95
SB082015TAWCSCB33CD3BR1TR1I54	CB33C	3.0	39.000233	-76.360085	360673.0	62330.0	Preheim	spr12	08	15	08 15	243	0.5049610547215202	0.8631421280499115	30660	0.11837237977805179	27821.875	133004.37500000003	48.48739918698487	32.153363	26.968	11.72	6.14	7.96
SB082015TAWCSCB33CD4BR1TR1I55	CB33C	4.0	39.000233	-76.360085	247043.0	20165.0	Preheim	spr12	08	15	08 15	243	0.5049610547215202	0.8631421280499115	31020	0.15782983970406905	27821.875	133004.37500000003	24.454627741973788	30.4596525	26.972	11.74	6.08	7.96
SB082015TAWCSCB33CD7BR1TR1I58	CB33C	7.0	39.000233	-76.360085	240149.0	73487.0	Preheim	spr12	08	15	08 15	243	0.5049610547215202	0.8631421280499115	32100	0.2762022194821208	27821.875	133004.37500000003	22.47191260757497	11.049895	26.929	12.04	5.61	7.89
SB082015TAWCSCB33CD8BR1TR1I59	CB33C	8.0	39.000233	-76.360085	272597.0	60856.0	Preheim	spr12	08	15	08 15	243	0.5049610547215202	0.8631421280499115	32400	0.3156596794081381	27821.875	133004.37500000003	13.37080752313249	7.451348000000001	26.901	12.05	5.32	7.85
SB082015TAWCSCB33CD9BR1TR1I60	CB33C	9.0	39.000233	-76.360085	433023.0	7109.0	Preheim	spr12	08	15	08 15	243	0.5049610547215202	0.8631421280499115	32700	0.35511713933415534	27821.875	133004.37500000003	15.428420441778552	9.672377000000001	26.877	12.07	5.12	7.81
SB082015TAWCSCB33CD10BR1TR1I61	CB33C	10.0	39.000233	-76.360085	312336.0	75229.0	Preheim	spr12	08	15	08 15	243	0.5049610547215202	0.8631421280499115	33000	0.39457459926017263	27821.875	133004.37500000003	41.791972476267894	34.2918195	26.737	12.16	3.62	7.59
SB082015TAWCSCB33CD11BR1TR1I63	CB33C	11.0	39.000233	-76.360085	386049.0	76669.0	Preheim	spr12	08	15	08 15	243	0.5049610547215202	0.8631421280499115	33420	0.43403205918618987	27821.875	133004.37500000003	52.31545608441037	34.925613500000004	26.625	12.84	3.02	7.52
SB082015TAWCSCB33CD12BR1TR1I64	CB33C	12.0	39.000233	-76.360085	129569.0	43724.0	Preheim	spr12	08	15	08 15	243	0.5049610547215202	0.8631421280499115	33780	0.47348951911220716	27821.875	133004.37500000003	30.61391592790093	32.696595	26.642	14.28	1.58	7.37
SB082015TAWCSCB33CD13BR1TR1I65	CB33C	13.0	39.000233	-76.360085	146277.0	52909.0	Preheim	spr12	08	15	08 15	243	0.5049610547215202	0.8631421280499115	34080	0.5129469790382244	27821.875	133004.37500000003	29.817246664456395	33.555798	26.43	15.18	0.99	7.33
SB082015TAWCSCB33CD14BR1TR1I66	CB33C	14.0	39.000233	-76.360085	112097.0	37883.0	Preheim	spr12	08	15	08 15	243	0.5049610547215202	0.8631421280499115	34380	0.5524044389642416	27821.875	133004.37500000003	25.375451501934553	33.494033	26.351	17.26	0.03	7.35
SB082015TAWCSCB33CD15BR1TR1I67	CB33C	15.0	39.000233	-76.360085	68586.0	23215.0	Preheim	spr12	08	15	08 15	243	0.5049610547215202	0.8631421280499115	34620	0.591861898890259	27821.875	133004.37500000003	23.768196205345326	33.7510465	26.303	18.11	0.01	7.36
SB082015TAWCSCB33CD16BR1TR1I68	CB33C	16.0	39.000233	-76.360085	409045.0	147584.0	Preheim	spr12	08	15	08 15	243	0.5049610547215202	0.8631421280499115	34860	0.6313193588162762	27821.875	133004.37500000003	29.841452167712546	39.235217	26.309	18.14	0.01	7.37
SB082015TAWCSCB33CD17BR1TR1I69	CB33C	17.0	39.000233	-76.360085	302047.0	97562.0	Preheim	spr12	08	15	08 15	243	0.5049610547215202	0.8631421280499115	35100	0.6707768187422934	27821.875	133004.37500000003	26.53670737267493	37.9323335	26.331	19.19	0.0	7.37
SB082015TAWCSCB33CD18BR1TR1I70	CB33C	18.0	39.000233	-76.360085	353847.0	135285.0	Preheim	spr12	08	15	08 15	243	0.5049610547215202	0.8631421280499115	35340	0.7102342786683107	27821.875	133004.37500000003	31.095492786109318	40.8149685	26.34	19.67	0.0	7.37
SB082015TAWCSCB33CD19BR1TR1I71	CB33C	19.0	39.000233	-76.360085	230025.0	87093.0	Preheim	spr12	08	15	08 15	243	0.5049610547215202	0.8631421280499115	35580	0.749691738594328	27821.875	133004.37500000003	34.02188468963553	39.7734005	26.351	19.84	0.0	7.37
SB082015TAWCSCB33CD20BR1TR1I74	CB33C	20.0	39.000233	-76.360085	160268.0	70542.0	Preheim	spr12	08	15	08 15	243	0.5049610547215202	0.8631421280499115	35760	0.7891491985203453	27821.875	133004.37500000003	10.62439383579102	45.986583	26.351	19.89	0.0	7.37
SB062716TAWCSCB33CD1BR2TR1I80	CB33C	1.0	38.99738333333333	-76.35888333333334	353676.0	119015.0	Preheim	e_13	06	16	06 16	555	0.9916773198992899	0.12874817745258174	33180	0.03945745992601726	106503.58333333333	147550.83333333334	66.02446948930393	35.0228905	24.292	11.1	8.55	8.08
