Sample	Month	Year	DateMMDDYY	CollectionAgency	StationName	Latitude	Depth	Depth_Percentage	WTEMP	DO	CHLA	SALINITY	NO2F	NH4F	PC	PHEO	NO3F	Discharge_Susquehanna_14	day_length
SB072215TAWCSCB33CD0BR1TR1I27	7	15	072215	Preheim	CB33C	38.996615999999996	0.27899999999999997	0.0	26.84	8.1		4.86						643638.6111111111	0.8565509959010037
SB072215TAWCSCB33CD2BR1TR1I29	7	15	072215	Preheim	CB33C	38.996601	2.127	0.07891491985203453	27.076	7.18		5.96						643638.6111111111	0.8565509959010037
SB072215TAWCSCB33CD3BR1TR1I30	7	15	072215	Preheim	CB33C	38.996552	3.073	0.1183723797780518	27.057	6.47		6.72						643638.6111111111	0.8565509959010037
SB072215TAWCSCB33CD4BR1TR1I31	7	15	072215	Preheim	CB33C	38.996449	3.9589999999999996	0.15782983970406905	26.881999999999998	6.86		6.67						643638.6111111111	0.8565509959010037
SB072215TAWCSCB33CD6BR1TR1I33	7	15	072215	Preheim	CB33C	38.996384	6.069	0.2367447595561036	25.884	3.15		10.1						643638.6111111111	0.8565509959010037
SB072215TAWCSCB33CD7BR1TR1I34	7	15	072215	Preheim	CB33C	38.996384	7.031000000000001	0.2762022194821208	25.344	1.4		11.72						643638.6111111111	0.8565509959010037
SB072215TAWCSCB33CD9BR1TR1I36	7	15	072215	Preheim	CB33C	38.996319	9.023	0.3551171393341553	24.66	0.14		13.71						643638.6111111111	0.8565509959010037
SB072215TAWCSCB33CD10BR1TR1I37	7	15	072215	Preheim	CB33C	38.996334000000004	9.91	0.39457459926017263	24.418000000000003	-0.02		14.48						643638.6111111111	0.8565509959010037
SB072215TAWCSCB33CD11BR1TR1I39	7	15	072215	Preheim	CB33C	38.996349	10.948	0.43403205918618987	24.255	-0.03		16.03						643638.6111111111	0.8565509959010037
SB072215TAWCSCB33CD12BR1TR1I40	7	15	072215	Preheim	CB33C	38.996334000000004	12.037	0.4734895191122072	24.024	-0.03		16.35						643638.6111111111	0.8565509959010037
SB072215TAWCSCB33CD13BR1TR1I41	7	15	072215	Preheim	CB33C	38.996319	13.321	0.5129469790382244	24.096	-0.03		16.71						643638.6111111111	0.8565509959010037
SB072215TAWCSCB33CD18BR1TR1I44	7	15	072215	Preheim	CB33C	38.9963	18.319000000000003	0.7102342786683107	23.79	-0.03		18.1						643638.6111111111	0.8565509959010037
SB072215TAWCSCB33CD20BR1TR1I45	7	15	072215	Preheim	CB33C	38.996449	20.1545	0.7891491985203453	23.739	-0.03		18.4						643638.6111111111	0.8565509959010037
SB082015TAWCSCB33CD1BR1TR1I52	8	15	082015	Preheim	CB33C	39.000233	0.963	0.03945745992601726	26.943	6.11		11.68						133004.37500000006	0.5049610547215202
SB082015TAWCSCB33CD3BR1TR1I54	8	15	082015	Preheim	CB33C	39.000233	3.075	0.1183723797780518	26.968000000000004	6.14		11.72						133004.37500000006	0.5049610547215202
SB082015TAWCSCB33CD4BR1TR1I55	8	15	082015	Preheim	CB33C	39.000233	4.113	0.15782983970406905	26.971999999999998	6.08		11.74						133004.37500000006	0.5049610547215202
SB082015TAWCSCB33CD7BR1TR1I58	8	15	082015	Preheim	CB33C	39.000233	7.2170000000000005	0.2762022194821208	26.929000000000002	5.61		12.04						133004.37500000006	0.5049610547215202
SB082015TAWCSCB33CD8BR1TR1I59	8	15	082015	Preheim	CB33C	39.000233	8.344	0.3156596794081381	26.901	5.32		12.05						133004.37500000006	0.5049610547215202
SB082015TAWCSCB33CD9BR1TR1I60	8	15	082015	Preheim	CB33C	39.000233	9.321	0.3551171393341553	26.877	5.12		12.07						133004.37500000006	0.5049610547215202
SB082015TAWCSCB33CD10BR1TR1I61	8	15	082015	Preheim	CB33C	39.000233	10.142999999999999	0.39457459926017263	26.737	3.62		12.16						133004.37500000006	0.5049610547215202
SB082015TAWCSCB33CD11BR1TR1I63	8	15	082015	Preheim	CB33C	39.000233	11.328	0.43403205918618987	26.625	3.02		12.84						133004.37500000006	0.5049610547215202
SB082015TAWCSCB33CD12BR1TR1I64	8	15	082015	Preheim	CB33C	39.000233	12.3	0.4734895191122072	26.642	1.58		14.28						133004.37500000006	0.5049610547215202
SB082015TAWCSCB33CD13BR1TR1I65	8	15	082015	Preheim	CB33C	39.000233	13.272	0.5129469790382244	26.43	0.99		15.18						133004.37500000006	0.5049610547215202
SB082015TAWCSCB33CD14BR1TR1I66	8	15	082015	Preheim	CB33C	39.000233	14.466	0.5524044389642416	26.351	0.03		17.26						133004.37500000006	0.5049610547215202
SB082015TAWCSCB33CD15BR1TR1I67	8	15	082015	Preheim	CB33C	39.000233	15.392000000000001	0.5918618988902591	26.303	0.01		18.11						133004.37500000006	0.5049610547215202
SB082015TAWCSCB33CD16BR1TR1I68	8	15	082015	Preheim	CB33C	39.000233	16.369	0.6313193588162762	26.309	0.01		18.14						133004.37500000006	0.5049610547215202
SB082015TAWCSCB33CD17BR1TR1I69	8	15	082015	Preheim	CB33C	39.000233	17.151	0.6707768187422934	26.331	0.0		19.19						133004.37500000006	0.5049610547215202
SB082015TAWCSCB33CD18BR1TR1I70	8	15	082015	Preheim	CB33C	39.000233	18.048	0.7102342786683107	26.34	0.0		19.67						133004.37500000006	0.5049610547215202
