Samples	enspie	enspie_25	enspie_975	observed_otus	observed_otus_25	observed_otus_975
SB062716TAWCSCB33CD12BR2TR1I87	85.97286117290173	3.9867367410396355	5.487844301202145	336.0	14.049999999999955	15.099999999999966
SB062716TAWCSCB33CD1BR2TR1I80	70.20970232782092	5.662118553885691	4.330202123060161	264.5	10.5	11.5
SB071116TAWCSCB22D11BR2TR2I616	46.49487205019396	3.77688666093281	4.578654996240971	292.5	16.649999999999977	13.5
SB071116TAWCSCB33CD24BR1TR2I611	72.62377407839983	3.7734001533600576	4.293649034813029	317.5	13.5	12.024999999999977
SB071116TAWCSCB51D33BR1TR1I153	35.481002747924244	3.4053284698762596	3.7187463974476387	307.0	12.0	13.574999999999932
SB071116TAWCSCB52D29BR1TR2I619	64.31434388941454	4.240813411391436	3.5625302243562658	341.0	12.524999999999977	13.0
SB071116TAWCSCB53D25BR2TR2I615	71.70668434693809	4.692629604543228	4.6539185704391315	354.0	13.524999999999977	11.0
SB071316TAWCSCB22D11BR2TR2I613	45.18476281718284	3.949078612613121	4.155664409271608	292.0	10.0	16.049999999999955
SB072516TAWCSCB33CD0BR1TR2I620	41.33624845796653	2.8416561710855532	4.508012081219874	285.0	12.524999999999977	12.0
SB072516TAWCSCB33CD22BR1TR1I123	68.83122638055197	5.3768890507219	5.859620316228359	355.0	14.524999999999977	13.524999999999977
SB072516TAWCSCB33CD6BR1TR1I104	19.063852840159058	1.7916783743427658	1.2623257728702306	275.0	12.050000000000011	12.0
SB072516TAWCSCB33CD8BR1TR1I107	45.657108275472474	3.8178651054204167	4.2533605722157475	319.0	14.575000000000045	13.524999999999977
SB081216TAWCSCB22D11BR1TR2I617	31.750739146523102	2.5820172401521297	3.0136291312383037	273.0	11.0	13.524999999999977
SB081216TAWCSCB32D10BR1TR2I621	60.871103114803915	3.528744487919411	3.920348069858605	323.0	12.524999999999977	12.0
SB081216TAWCSCB33CD0BR1TR1I126	57.314146559063396	4.539950088193187	3.277370991379833	282.0	12.524999999999977	13.524999999999977
SB081216TAWCSCB33CD13BR1TR1I134	42.43550542179328	5.179451043583086	3.5879798306020945	317.0	17.0	12.0
