"Base_Variable"	"source"	"PreProcess"	"Object_Index"	"Log"	"Center"	"ridge-StationName"	"ridge-Year"	"ridge-Month"	"ridge-Discharge_Susquehanna_14"	"ridge-Latitude"	"ridge-depth_segment"	"ridge-habitat"	"ridge-enspie"	"ridge-faith_pd"	"ridge-day_length"	"ridge-CollectionAgency"	"ridge-anti_day_length"	"ridge-Month_Year"	"ridge-WTEMP"	"ridge-SALINITY"	"ridge-DO"	"ridge-DOP"	"ridge-NO2F"	"ridge-PC"	"ridge-PHEO"	"ridge-NO3F"	"ridge-NH4F"	"ridge-TP"	"ridge-CHLA"	"ridge-TDN"	"ridge-SalZone"	"lasso-StationName"	"lasso-Year"	"lasso-Month"	"lasso-Discharge_Susquehanna_14"	"lasso-Latitude"	"lasso-depth_segment"	"lasso-habitat"	"lasso-enspie"	"lasso-faith_pd"	"lasso-day_length"	"lasso-CollectionAgency"	"lasso-anti_day_length"	"lasso-Month_Year"	"lasso-WTEMP"	"lasso-SALINITY"	"lasso-DO"	"lasso-DOP"	"lasso-NO2F"	"lasso-PC"	"lasso-PHEO"	"lasso-NO3F"	"lasso-NH4F"	"lasso-TP"	"lasso-CHLA"	"lasso-TDN"	"lasso-SalZone"	"rf-StationName"	"rf-Year"	"rf-Month"	"rf-Discharge_Susquehanna_14"	"rf-Latitude"	"rf-depth_segment"	"rf-habitat"	"rf-enspie"	"rf-faith_pd"	"rf-day_length"	"rf-CollectionAgency"	"rf-anti_day_length"	"rf-Month_Year"	"rf-WTEMP"	"rf-SALINITY"	"rf-DO"	"rf-DOP"	"rf-NO2F"	"rf-PC"	"rf-PHEO"	"rf-NO3F"	"rf-NH4F"	"rf-TP"	"rf-CHLA"	"rf-TDN"	"rf-SalZone"
"T1"	"Function"	"RDP"	"TSS"	1	FALSE	FALSE	0.0508392822689562	0.621917808219178	0.36986301369863	0.594523987674133	0.263212429174209	0.773214285714286	0.286666666666667	0.342111456887385	0.68932700744843	0.364984454107393	0.387671232876712	0.559351358476788	0.157534246575342	0.50133018798337	0.265455838190207	0.294975446422811	0.461295547114101	0.258148236546473	0.333336725464224	0.299922458997017	0.422472226878742	0.423469641421966	0.562189930784133	0.433496638435187	0.50532938448318	0.682191780821918	0.050723519197376	0.627397260273973	0.410958904109589	0.588167738232586	0.251508286741024	0.85	0.335555555555556	0.301241209244852	0.684012013633161	0.343048424068465	0.423287671232877	0.599109051395266	0.178082191780822	0.461783681777131	0.262073547895736	0.247962946116546	0.470676519992725	0.273618651345458	0.415767023298757	NA	0.417107642905943	0.407534023829408	0.548921660931314	0.415760516680934	NA	0.69041095890411	0.366795292301756	0.801369863013699	0.683561643835616	0.787662433403136	0.615779718198281	0.916071428571429	0.797777777777778	0.553832132812966	0.860948385556354	0.606756001812524	0.73972602739726	0.813593926985733	0.615068493150685	0.747069856124518	0.56876738905176	0.520656263116445	0.538186915929951	0.250958472851103	0.362131810683253	0.300222207907649	0.523248537677993	0.578607346445061	0.689704546222317	0.499763885959398	0.696188410576405	0.801369863013699
"T2"	"Function"	"RDP∩Silva"	"TSS"	2	FALSE	FALSE	0.0556932222678936	0.650684931506849	0.317808219178082	0.511730542347827	0.213963509625706	0.742857142857143	0.246666666666667	0.187235243391966	0.572984415643723	0.199366512479349	0.393150684931507	0.486044005979709	0.163013698630137	0.639636363650283	0.279854957324652	0.220445819687996	0.389985718921284	0.277414341165385	0.28126190155486	0.415511383460307	0.370472310134076	0.528804287651507	0.5593188405908	0.407690215920228	0.495436738089912	0.631506849315069	0.0417563550850467	0.66986301369863	0.343835616438356	0.512410456024574	0.192948532212347	0.7875	0.273333333333333	0.1977353556323	0.626529376762291	0.209448185894032	0.395890410958904	0.466029453070659	0.136986301369863	0.634163298411755	0.229625528997835	0.273430683872611	0.354811380943718	NA	0.328682961065429	0.404730886233563	0.311294894816248	0.486093379432392	0.518327639114143	0.390853256266307	0.514895532765222	0.617808219178082	0.365498410354923	0.83972602739726	0.732876712328767	0.765879242406647	0.670493570554538	0.9	0.806666666666667	0.612350995222415	0.832832910698209	0.636176893066736	0.80958904109589	0.827506125654593	0.620547945205479	0.810594416283277	0.576683267893951	0.576484336378264	0.465198399306207	0.310875753343215	0.364660492954914	0.419782924944179	0.458633964486346	0.683705237647133	0.719411346282758	0.547978890844575	0.650990656100856	0.815068493150685
"T3"	"Function"	"RDP∪Silva"	"TSS"	3	FALSE	FALSE	0.0830792977040324	0.706849315068493	0.502739726027397	0.686840599732288	0.383567343239317	0.8375	0.508888888888889	0.386953440793042	0.656098179072621	0.476688526633667	0.384931506849315	0.705936237934571	0.263318112633181	0.593579678642893	0.479164357288753	0.474479842717912	0.384111829799917	0.22628142313004	0.432960785387124	0.311839323082533	0.608342051788021	0.487616769352201	0.657992138684855	0.463457435426285	0.608315275444016	0.686301369863014	0.07904688404399	0.7	0.498630136986301	0.690522768206278	0.394650718843624	0.869642857142857	0.495555555555556	0.366159223110479	0.686088222761168	0.383192027582885	0.431506849315068	0.703684293670064	0.231506849315068	0.69117908307913	0.457090483158449	0.476981718215007	0.399647398400926	0.324558763210282	NA	0.305173456549414	0.574667968399729	0.389310242820314	0.612638340808695	0.428955384892722	0.579269420185671	0.684931506849315	0.34179046884044	0.850684931506849	0.795890410958904	0.774934501672041	0.702360280220881	0.901785714285714	0.851111111111111	0.671155736799517	0.811083050607416	0.710497189783297	0.808219178082192	0.835083475690967	0.734246575342466	0.815706698792369	0.648053547817435	0.577035995670978	0.512810053921583	0.385736460865162	0.391259424821037	0.303775153642495	0.560712123983556	0.624665835268485	0.706899794500987	0.564884671818893	0.686882357074821	0.827397260273973
"T4"	"Function"	"Silva"	"TSS"	4	FALSE	FALSE	0.0677551830738251	0.66986301369863	0.494520547945205	0.669127822957659	0.316340935877352	0.866071428571429	0.497777777777778	0.378324912108238	0.595988722086219	0.496301963489551	0.405479452054795	0.704967712371787	0.279452054794521	0.658475477483809	0.470140516895144	0.418072776827174	0.290528514389589	0.224108526911677	0.471510151566979	0.343880164462847	0.600375373572767	0.416638000047706	0.655982337521916	0.501273286148268	0.694008168529651	0.691780821917808	0.0775203494143339	0.652054794520548	0.497260273972603	0.691708916962637	0.284517048956396	0.8625	0.515555555555556	0.354672369859889	0.590144432196405	0.397522360410429	0.415068493150685	0.716588803892382	0.280821917808219	0.735349613600288	0.553979693428224	0.414305817283932	0.311416825662792	0.269611571985481	0.465709423466856	0.279131859391245	0.609721997543084	0.397253621627652	0.63997479017461	0.458166575973062	0.66337080809615	0.695890410958904	0.393665187471863	0.817808219178082	0.798630136986301	0.787937423866423	0.690425234652428	0.892857142857143	0.862222222222222	0.661945652369478	0.796822538754628	0.744267084907758	0.815068493150685	0.853656436862232	0.716438356164384	0.835313409513924	0.685491750619895	0.630740785038754	0.433833111598295	0.337947153362932	0.42925913189068	0.360023963227676	0.558564745138348	0.6146280477273	0.717418771575065	0.521000386422933	0.694676054410526	0.817808219178082
"T5"	"Taxa"	"Order"	"TSS"	5	FALSE	FALSE	0.150800694578429	0.784931506849315	0.393150684931507	0.799255429357566	0.751814538442261	0.844642857142857	0.408888888888889	0.531786933153226	0.720442177978578	0.538650918276193	0.427397260273973	0.810309042619881	0.224657534246575	0.819695626956138	0.645241879262233	0.422505378558731	0.385383214961633	0.17774416505908	0.405129915897166	0.514756567327339	0.619972861062936	0.428825936185066	0.385738134330415	0.331507448742948	0.655169140165546	0.753424657534247	0.195022187922053	0.80958904109589	0.663013698630137	0.84314872500993	0.764048224452479	0.908928571428571	0.417777777777778	0.525829836421589	0.732149380739801	0.664812905429649	0.449315068493151	0.845010683326554	0.286301369863014	0.862926706823075	0.743635784124071	0.491218292179529	0.42331796004515	NA	0.315814776941989	0.57725022257105	0.588260959175009	0.428002325631915	0.580453175034283	0.375681574999853	0.644903967369596	0.80958904109589	0.444916071773104	0.917808219178082	0.847945205479452	0.866518327753896	0.784622124811808	0.957142857142857	0.844444444444444	0.721231688371068	0.91870535670454	0.767264339217657	0.873972602739726	0.858926997556884	0.821917808219178	0.878852390400718	0.825922452696345	0.684670094120781	0.574169841079705	0.276383094865963	0.497854181104159	0.583655124861847	0.662164990834258	0.696687565696136	0.801663668682615	0.590401167496494	0.719071908674244	0.87945205479452
"T6"	"Taxa"	"Family"	"TSS"	6	FALSE	FALSE	0.177099044535228	0.797260273972603	0.626027397260274	0.746225557368509	0.675005672689967	0.796428571428571	0.402222222222222	0.516175364805824	0.645987607658269	0.52638467328297	0.423287671232877	0.813250614670442	0.274486301369863	0.842636868904297	0.731543973047102	0.388332045426013	0.28060682787203	0.214480534893836	0.378300037701984	0.372633703142997	0.679093805346151	0.415248745871929	0.570657707223186	0.252171326572282	0.680452624571805	0.812328767123288	0.207227082966331	0.802739726027397	0.728767123287671	0.822802750953025	0.726104142326314	0.876785714285714	0.522222222222222	0.670694652059392	0.702748555570607	0.710083168473219	0.516438356164384	0.875494208218731	0.397260273972603	0.902383107462325	0.805073892592153	0.515469753872895	0.372210864167794	NA	0.444763428072088	0.408967935060552	0.697409016230809	0.46343205963912	0.728652556740214	0.42067029821827	0.560671354174694	0.841095890410959	0.425009577017395	0.910958904109589	0.852054794520548	0.839513843480755	0.81653171244605	0.935714285714286	0.837777777777778	0.689126623757858	0.933312389249105	0.772864030602323	0.867123287671233	0.902506446082611	0.797260273972603	0.907462549871688	0.84344306007726	0.669107986434717	0.526705027372079	0.305853957335343	0.549844619264567	0.491749145279478	0.677300124506216	0.643654467800376	0.782943955144591	0.535458086473843	0.756265181352899	0.86986301369863
"T7"	"Taxa"	"Genus"	"TSS"	7	FALSE	FALSE	0.138531110559858	0.771232876712329	0.593150684931507	0.654758068972399	0.549058972967005	0.7	0.346666666666667	0.336780072655486	0.63176678796069	0.305992510496854	0.423287671232877	0.790564112634009	0.258169545364304	0.803775588888609	0.76622574439202	0.326823451736869	0.375157772282156	0.133216450950507	0.327169851448863	0.48494786843085	0.754507559780437	0.312030920025187	0.507225846241681	0.285403352652935	0.676843469164385	0.713698630136986	0.149218599266834	0.752054794520548	0.776712328767123	0.828205284303946	0.783841452078885	0.857142857142857	0.44	0.612414138677224	0.709274336101127	0.646978711198131	0.646575342465753	0.901272667305962	0.363013698630137	0.857738202230175	0.781915133158964	0.533423211760543	0.490879068404371	NA	NA	0.430949821472723	0.654073398569918	0.34703172372808	0.664540095480513	NA	0.61557587420221	0.821917808219178	0.42990546015821	0.893150684931507	0.847945205479452	0.874615659614495	0.853255336616601	0.908928571428571	0.806666666666667	0.710987719103691	0.920353134397614	0.785565867034437	0.882191780821918	0.913680083413878	0.813698630136986	0.896845450400372	0.826573909498664	0.665641173942617	0.643935710614887	0.244788576704242	0.452099182607374	0.563120591474596	0.73783887855753	0.538996412100377	0.777471940604795	0.646706319052197	0.737579052685424	0.882191780821918
"T8"	"Taxa"	"Order"	"CLR"	8	FALSE	FALSE	0.238163225930928	0.891780821917808	0.783561643835616	0.857872971361783	0.838255350256887	0.939285714285714	0.606666666666667	0.577607530375907	0.877275522691113	0.745838314615811	0.710958904109589	0.912257344482176	0.435616438356164	0.869170830944265	0.811216561540821	0.67602631744828	0.532605597475135	0.279862210620245	0.517597106619098	0.38840769796777	0.607124544401798	0.719150662307376	0.720599735874722	0.529807867048558	0.763479881367858	0.884931506849315	0.231313910862435	0.876712328767123	0.736986301369863	0.858975403433227	0.825910707026137	0.930357142857143	0.582222222222222	0.54097733049735	0.896729381257187	0.762650602577839	0.701369863013699	0.901763375745311	0.386301369863014	0.861079124825244	0.803054138961343	0.667499823306979	0.526196278341162	0.195358261797093	0.476396148951689	0.33343919254365	0.528219691159947	0.71950890329104	0.723993985903309	0.501781326589715	0.724743667650786	0.871232876712329	0.415396488520162	0.871232876712329	0.794520547945205	0.824224023901124	0.796700798476107	0.898214285714286	0.748888888888889	0.614206085005876	0.91672477360674	0.73887540872558	0.847945205479452	0.877452140425179	0.719178082191781	0.849785030455309	0.786761404443046	0.624337215043202	0.546466920558318	0.242721867509619	0.498783465331855	0.33587054402266	0.579160770892947	0.626908749314678	0.730747535820242	0.532939983359933	0.760740449101677	0.86027397260274
"T9"	"Taxa"	"Family"	"CLR"	9	FALSE	FALSE	0.203376422921088	0.89041095890411	0.73972602739726	0.832910558130177	0.814496627209558	0.953571428571429	0.648888888888889	0.54333315683062	0.879221286685326	0.775486696912137	0.701369863013699	0.904384605660671	0.419178082191781	0.885093458981439	0.780469140563191	0.591829551892294	0.565046563095259	0.259927726027744	0.539812151794067	0.576864409858935	0.483740306898301	0.597575246578163	0.737176792249967	0.575419533726059	0.740502721246846	0.86986301369863	0.197665444723133	0.863013698630137	0.767123287671233	0.832817548112785	0.800211755075764	0.95	0.613333333333333	0.508688521742222	0.857272842192361	0.7557954236635	0.66986301369863	0.914159162209388	0.436986301369863	0.884909590495417	0.806175078116605	0.554066322045269	0.543868926011801	0.235164502032431	0.526334972813554	0.475551213685579	0.433118941813694	0.603193135506308	0.658575990734908	0.540129032076679	0.685084458886221	0.857534246575342	0.426567624927648	0.868493150684931	0.768493150684932	0.831578648018446	0.799243829038192	0.928571428571429	0.826666666666667	0.548564510154606	0.923824285593537	0.787606825207592	0.836986301369863	0.875318365177916	0.7	0.874181275646733	0.793672699198668	0.568825747853743	0.564752250636127	0.279437999161279	0.5190246895508	0.528367094646285	0.559670722150551	0.527778736069273	0.715301368751108	0.529675402180684	0.700442334400283	0.845205479452055
"T10"	"Taxa"	"Genus"	"CLR"	10	FALSE	FALSE	0.205196659408506	0.9	0.772602739726027	0.834384496799755	0.801662392059856	0.9375	0.597777777777778	0.495149223666436	0.851301387021121	0.768782086620512	0.708219178082192	0.89135421661523	0.402739726027397	0.8902851376253	0.785192740104484	0.615783761495138	0.536435037276609	0.237578702207756	0.442710335362346	0.51134286499236	0.776693264796225	0.54479137546701	0.684427822985352	0.537429391724641	0.642098225924638	0.886301369863014	0.201204487197156	0.86986301369863	0.793150684931507	0.832529150598151	0.812689311501755	0.919642857142857	0.564444444444444	0.506150878977313	0.848006895273962	0.755464133330701	0.717808219178082	0.905026507353701	0.432876712328767	0.884534972252985	0.779294012238944	0.592747043095003	0.439020089198216	NA	0.412273357511544	0.484856001495317	0.7667938245475	0.503037373578331	0.693505922818697	NA	0.643870608784617	0.876712328767123	0.412544858190237	0.853424657534247	0.795890410958904	0.82963401138838	0.824605508968333	0.878571428571429	0.782222222222222	0.557131792869887	0.896013374559513	0.793504284014585	0.834246575342466	0.883149642140977	0.731506849315068	0.882533415400662	0.793696586384175	0.560509260646799	0.507195813559594	0.217303482187572	0.414381874340161	0.458782905661758	0.785701507917006	0.503897449916655	0.668827522282708	0.521298585895358	0.660673042643915	0.849315068493151
