"Base_Variable"	"source"	"PreProcess"	"Object_Index"	"Log"	"Center"	"svm-StatName"	"svm-Year"	"svm-Month"	"svm-Discharge_Susquehanna_14"	"svm-Latitude"	"svm-depth_segment"	"svm-habitat"	"svm-enspie"	"svm-faith_pd"	"svm-day_length"	"svm-CollectionAgency"	"svm-anti_day_length"	"svm-Month_Year"	"svm-WTEMP"	"svm-SALINITY"	"svm-DO"	"svm-DOP"	"svm-NO2F"	"svm-PC"	"svm-PHEO"	"svm-NO3F"	"svm-NH4F"	"svm-TP"	"svm-CHLA"	"svm-TDN"	"svm-SalZone"	"svm-AC_PrinComp1"	"svm-AC_PrinComp2"	"svm-depth_float"	"rf-StatName"	"rf-Year"	"rf-Month"	"rf-Discharge_Susquehanna_14"	"rf-Latitude"	"rf-depth_segment"	"rf-habitat"	"rf-enspie"	"rf-faith_pd"	"rf-day_length"	"rf-CollectionAgency"	"rf-anti_day_length"	"rf-Month_Year"	"rf-WTEMP"	"rf-SALINITY"	"rf-DO"	"rf-DOP"	"rf-NO2F"	"rf-PC"	"rf-PHEO"	"rf-NO3F"	"rf-NH4F"	"rf-TP"	"rf-CHLA"	"rf-TDN"	"rf-SalZone"	"rf-AC_PrinComp1"	"rf-AC_PrinComp2"	"rf-depth_float"
"T1"	"Function"	"RDP"	"TSS"	1	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"T2"	"Function"	"RDP∩Silva"	"TSS"	2	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"T3"	"Function"	"RDP∪Silva"	"TSS"	3	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"T4"	"Function"	"Silva"	"TSS"	4	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"T5"	"Taxa"	"Order"	"TSS"	5	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"T6"	"Taxa"	"Family"	"TSS"	6	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"T7"	"Taxa"	"Genus"	"TSS"	7	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"T8"	"Taxa"	"Order"	"CLR"	8	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"T9"	"Taxa"	"Family"	"CLR"	9	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"T10"	"Taxa"	"Genus"	"CLR"	10	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
