"Function"	"Taxa"	"all.model.average"	"TaxaBetter?"	"TaxaDiff"	"SigDiff.95%"
"StatName"	0.580281690140845	0.590140845070423	NA	TRUE	0.00985915492957745	FALSE
"Year"	0.846478873239437	0.895774647887324	NA	TRUE	0.0492957746478874	FALSE
"Month"	0.778571428571429	0.871428571428571	NA	TRUE	0.0928571428571429	TRUE
"Discharge_Susquehanna_14"	0.825413984522448	0.893985564194597	NA	TRUE	0.068571579672149	TRUE
"Latitude"	0.756047226683039	0.844575955702398	NA	TRUE	0.0885287290193593	TRUE
"depth_segment"	0.912727272727273	0.923636363636364	NA	TRUE	0.0109090909090909	FALSE
"habitat"	0.812676056338028	0.804225352112676	NA	FALSE	-0.0084507042253521	FALSE
"enspie"	0.67612330355114	0.739293539735331	NA	TRUE	0.0631702361841909	FALSE
"faith_pd"	0.845470656588517	0.925222055929631	NA	TRUE	0.079751399341114	TRUE
"day_length"	0.742186600583004	0.818972700132719	NA	TRUE	0.0767860995497155	FALSE
"CollectionAgency"	0.833802816901408	0.9	NA	TRUE	0.0661971830985916	TRUE
"anti_day_length"	0.870291352062516	0.89217670054509	NA	TRUE	0.0218853484825738	FALSE
"Month_Year"	0.753731343283582	0.802985074626866	NA	TRUE	0.0492537313432836	FALSE
"WTEMP"	0.855427009730935	0.900693916764666	NA	TRUE	0.0452669070337318	FALSE
"SALINITY"	0.667477503927195	0.838505820522577	NA	TRUE	0.171028316595382	TRUE
"DO"	0.639804191774609	0.696322663408231	NA	TRUE	0.056518471633622	FALSE
"DOP"	0.526886655078414	0.670006051297815	NA	TRUE	0.143119396219401	FALSE
"NO2F"	0.457646137851019	0.486241120107937	NA	TRUE	0.028594982256918	FALSE
"PC"	0.533203174829349	0.563102292579388	NA	TRUE	0.0298991177500392	FALSE
"PHEO"	0.446643748294865	0.578691638101298	NA	TRUE	0.132047889806433	FALSE
"NO3F"	0.652835911288152	0.793387624299499	NA	TRUE	0.140551713011348	TRUE
"NH4F"	0.6696839625201	0.721513211970767	NA	TRUE	0.051829249450667	FALSE
"TP"	0.737311466418727	0.788778710743061	NA	TRUE	0.0514672443243344	FALSE
"CHLA"	0.556400807709247	0.726676323927969	NA	TRUE	0.170275516218722	TRUE
"TDN"	0.698040016648338	0.793338262947989	NA	TRUE	0.0952982462996507	TRUE
"SalZone"	0.825352112676056	0.874647887323944	NA	TRUE	0.0492957746478873	FALSE
"AC_PrinComp1"	0.625334008065801	0.700022457671459	NA	TRUE	0.0746884496056572	FALSE
"AC_PrinComp2"	0.683316986292623	0.781532408354042	NA	TRUE	0.0982154220614191	TRUE
"depth_float"	0.604804026910057	0.731788782099204	NA	TRUE	0.126984755189148	TRUE
