"percent.OTUS.sig.predictors.classified"	"total.counts.classified.OTUS"	"counts.sig.orders.classified"	"counts.orders.classified"	"hits.to.sig.predictive.taxa"	"other.hits"
"chemoheterotrophy"	0.41	1862	0.26	149	"Flavobacteriales.Flavobacteriaceae:118, Pirellulales.Pirellulaceae:58, Clostridiales.Family_XII:58, nan:53, Rhodobacterales.Rhodobacteraceae:44, Chitinophagales.Saprospiraceae:39, Desulfobacterales.Desulfobacteraceae:33, Oceanospirillales.Pseudohongiellaceae:31, Betaproteobacteriales.Burkholderiaceae:30, Desulfobacterales.Desulfobulbaceae:27, Corynebacteriales.Mycobacteriaceae:26, Verrucomicrobiales.Rubritaleaceae:25, Betaproteobacteriales.Methylophilaceae:24, Legionellales.Legionellaceae:21, Chthoniobacterales.Chthoniobacteraceae:20, Clostridiales.Peptostreptococcaceae:20, Micrococcales.Microbacteriaceae:15, Opitutales.Puniceicoccaceae:14, Rhizobiales.Beijerinckiaceae:13, Clostridiales.Lachnospiraceae:12, Clostridiales.Ruminococcaceae:11, SAR11_clade.Clade_I:10, Solibacterales.Solibacteraceae_.Subgroup_3.:9, Oceanospirillales.Kangiellaceae:9, Rhizobiales.Rhizobiaceae:6, SAR11_clade.Clade_III:5, Flavobacteriales.Cryomorphaceae:5, Caulobacterales.Hyphomonadaceae:5, Clostridiales.Clostridiaceae_1:5, Anaerolineales.Anaerolineaceae:5, Gammaproteobacteria_Incertae_Sedis.Unknown_Family:4, Oceanospirillales.Litoricolaceae:4, Oceanospirillales.Alcanivoracaceae:2, Desulfovibrionales.Desulfovibrionaceae:2, Frankiales.Sporichthyaceae:1, Mycoplasmatales.Mycoplasmataceae:1, Cellvibrionales.Porticoccaceae:1, Rhizobiales.Rhizobiales_Incertae_Sedis:1"	"Sphingomonadales.Sphingomonadaceae:117, Spirochaetales.Spirochaetaceae:55, Vibrionales.Vibrionaceae:47, Rhizobiales.Hyphomicrobiaceae:46, Methylococcales.Methylomonaceae:43, Verrucomicrobiales.Verrucomicrobiaceae:41, Pseudomonadales.Pseudomonadaceae:31, Oceanospirillales.Nitrincolaceae:29, Xanthomonadales.Xanthomonadaceae:27, Acetobacterales.Acetobacteraceae:26, Oceanospirillales.Saccharospirillaceae:26, Flavobacteriales.Crocinitomicaceae:23, Propionibacteriales.Nocardioidaceae:22, Alteromonadales.Shewanellaceae:21, Bacteroidales.Bacteroidaceae:19, Cytophagales.Cytophagaceae:19, Alteromonadales.Colwelliaceae:18, Betaproteobacteriales.Rhodocyclaceae:18, Oceanospirillales.Halomonadaceae:17, Alteromonadales.Pseudoalteromonadaceae:17, Alteromonadales.Alteromonadaceae:17, Opitutales.Opitutaceae:16, Oceanospirillales.Endozoicomonadaceae:16, Chitinophagales.Chitinophagaceae:14, Propionibacteriales.Propionibacteriaceae:14, Bacteroidales.Paludibacteraceae:14, Cytophagales.Cyclobacteriaceae:13, Frankiales.Cryptosporangiaceae:12, Lentisphaerales.Lentisphaeraceae:12, Pseudomonadales.Moraxellaceae:11, Flavobacteriales.Weeksellaceae:11, Alteromonadales.Psychromonadaceae:11, Micromonosporales.Micromonosporaceae:11, Caulobacterales.Caulobacteraceae:10, Fusobacteriales.Fusobacteriaceae:10, Oceanospirillales.P13.46:9, Acholeplasmatales.Acholeplasmataceae:8, SAR11_clade.Clade_IV:8, Methylococcales.Methylococcaceae:8, Rhizobiales.Xanthobacteraceae:8, Oceanospirillales.Oleiphilaceae:8, Acanthopleuribacterales.Acanthopleuribacteraceae:8, Solirubrobacterales.Solirubrobacteraceae:7, Sphingobacteriales.Sphingobacteriaceae:7, Xanthomonadales.Rhodanobacteraceae:7, Reyranellales.Reyranellaceae:6, Pseudonocardiales.Pseudonocardiaceae:6, Enterobacteriales.Enterobacteriaceae:5, SAR11_clade.Clade_II:5, Lactobacillales.Lactobacillaceae:5, Erysipelotrichales.Erysipelotrichaceae:5, Corynebacteriales.Nocardiaceae:5, Bifidobacteriales.Bifidobacteriaceae:5, Rhodospirillales.Magnetospirillaceae:5, Oceanospirillales.SS1.B.06.26:5, Methanosarcinales.Methanosarcinaceae:5, Azospirillales.Azospirillaceae:4, Micrococcales.Intrasporangiaceae:4, Frankiales.Geodermatophilaceae:4, Alteromonadales.Marinobacteraceae:4, Clostridiales.Family_XIII:4, Salinisphaerales.Solimonadaceae:4, Micrococcales.Cellulomonadaceae:4, Desulfovibrionales.Desulfomicrobiaceae:4, Methanosarcinales.Methanosaetaceae:3, Syntrophobacterales.Syntrophaceae:3, Cytophagales.Hymenobacteraceae:3, Kineosporiales.Kineosporiaceae:3, Alteromonadales.Moritellaceae:3, Holophagales.Holophagaceae:3, Streptomycetales.Streptomycetaceae:3, Clostridiales.Peptococcaceae:2, Bacteroidales.Dysgonomonadaceae:2, Aeromonadales.Aeromonadaceae:2, Cytophagales.Spirosomaceae:2, Rhizobiales.Devosiaceae:2, Lactobacillales.Streptococcaceae:2, Fusobacteriales.Leptotrichiaceae:2, Frankiales.Nakamurellaceae:2, Bacteroidales.Barnesiellaceae:2, Desulfuromonadales.Desulfuromonadaceae:2, Methylomirabilales.Methylomirabilaceae:2, Victivallales.Victivallaceae:2, Cytophagales.Flammeovirgaceae:2, Selenomonadales.Veillonellaceae:1, Clostridiales.Family_XI:1, Isosphaerales.Isosphaeraceae:1, Sneathiellales.Sneathiellaceae:1, Bacillales.Paenibacillaceae:1, Lactobacillales.Carnobacteriaceae:1, Bacteroidales.Rikenellaceae:1, Alteromonadales.Idiomarinaceae:1, Bacteroidales.Marinifilaceae:1, Acidobacteriales.Acidobacteriaceae_.Subgroup_1.:1, Betaproteobacteriales.Chitinibacteraceae:1, Fibrobacterales.Fibrobacteraceae:1, Micrococcales.Micrococcaceae:1, Elsterales.Elsteraceae:1, Methanomicrobiales.Methanospirillaceae:1, Bacteroidales.Tannerellaceae:1, Coriobacteriales.Coriobacteriaceae:1, Rhizobiales.Stappiaceae:1, Lactobacillales.Leuconostocaceae:1, Pasteurellales.Pasteurellaceae:1, Oceanospirillales.Marinomonadaceae:1, Myxococcales.Polyangiaceae:1, Frankiales.Acidothermaceae:1, Cellvibrionales.Microbulbiferaceae:1, Micrococcales.Demequinaceae:1, Oceanospirillales.Hahellaceae:1, Streptosporangiales.Streptosporangiaceae:1"
"aerobic_chemoheterotrophy"	0.4	1392	0.27	100	"Flavobacteriales.Flavobacteriaceae:115, Pirellulales.Pirellulaceae:58, nan:52, Rhodobacterales.Rhodobacteraceae:44, Chitinophagales.Saprospiraceae:39, Oceanospirillales.Pseudohongiellaceae:31, Corynebacteriales.Mycobacteriaceae:26, Verrucomicrobiales.Rubritaleaceae:25, Betaproteobacteriales.Burkholderiaceae:23, Legionellales.Legionellaceae:21, Chthoniobacterales.Chthoniobacteraceae:20, Micrococcales.Microbacteriaceae:15, Opitutales.Puniceicoccaceae:14, SAR11_clade.Clade_I:10, Solibacterales.Solibacteraceae_.Subgroup_3.:9, Oceanospirillales.Kangiellaceae:9, Rhizobiales.Beijerinckiaceae:6, Rhizobiales.Rhizobiaceae:6, SAR11_clade.Clade_III:5, Flavobacteriales.Cryomorphaceae:5, Caulobacterales.Hyphomonadaceae:5, Gammaproteobacteria_Incertae_Sedis.Unknown_Family:4, Oceanospirillales.Litoricolaceae:4, Oceanospirillales.Alcanivoracaceae:2, Frankiales.Sporichthyaceae:1, Mycoplasmatales.Mycoplasmataceae:1, Rhizobiales.Rhizobiales_Incertae_Sedis:1"	"Sphingomonadales.Sphingomonadaceae:117, Vibrionales.Vibrionaceae:47, Rhizobiales.Hyphomicrobiaceae:46, Verrucomicrobiales.Verrucomicrobiaceae:41, Pseudomonadales.Pseudomonadaceae:31, Oceanospirillales.Nitrincolaceae:29, Acetobacterales.Acetobacteraceae:26, Oceanospirillales.Saccharospirillaceae:26, Flavobacteriales.Crocinitomicaceae:23, Propionibacteriales.Nocardioidaceae:22, Alteromonadales.Shewanellaceae:21, Xanthomonadales.Xanthomonadaceae:21, Alteromonadales.Colwelliaceae:18, Oceanospirillales.Halomonadaceae:17, Alteromonadales.Pseudoalteromonadaceae:17, Alteromonadales.Alteromonadaceae:17, Cytophagales.Cytophagaceae:17, Oceanospirillales.Endozoicomonadaceae:16, Betaproteobacteriales.Rhodocyclaceae:16, Chitinophagales.Chitinophagaceae:14, Propionibacteriales.Propionibacteriaceae:14, Cytophagales.Cyclobacteriaceae:13, Frankiales.Cryptosporangiaceae:12, Lentisphaerales.Lentisphaeraceae:12, Alteromonadales.Psychromonadaceae:11, Micromonosporales.Micromonosporaceae:11, Caulobacterales.Caulobacteraceae:10, Flavobacteriales.Weeksellaceae:10, Pseudomonadales.Moraxellaceae:9, Oceanospirillales.P13.46:9, Acholeplasmatales.Acholeplasmataceae:8, SAR11_clade.Clade_IV:8, Rhizobiales.Xanthobacteraceae:8, Oceanospirillales.Oleiphilaceae:8, Acanthopleuribacterales.Acanthopleuribacteraceae:8, Solirubrobacterales.Solirubrobacteraceae:7, Sphingobacteriales.Sphingobacteriaceae:7, Xanthomonadales.Rhodanobacteraceae:7, Reyranellales.Reyranellaceae:6, Pseudonocardiales.Pseudonocardiaceae:6, SAR11_clade.Clade_II:5, Rhodospirillales.Magnetospirillaceae:5, Oceanospirillales.SS1.B.06.26:5, Azospirillales.Azospirillaceae:4, Micrococcales.Intrasporangiaceae:4, Frankiales.Geodermatophilaceae:4, Alteromonadales.Marinobacteraceae:4, Corynebacteriales.Nocardiaceae:3, Cytophagales.Hymenobacteraceae:3, Kineosporiales.Kineosporiaceae:3, Salinisphaerales.Solimonadaceae:3, Micrococcales.Cellulomonadaceae:3, Alteromonadales.Moritellaceae:3, Streptomycetales.Streptomycetaceae:3, Cytophagales.Spirosomaceae:2, Rhizobiales.Devosiaceae:2, Frankiales.Nakamurellaceae:2, Cytophagales.Flammeovirgaceae:2, Enterobacteriales.Enterobacteriaceae:1, Isosphaerales.Isosphaeraceae:1, Sneathiellales.Sneathiellaceae:1, Bacillales.Paenibacillaceae:1, Alteromonadales.Idiomarinaceae:1, Acidobacteriales.Acidobacteriaceae_.Subgroup_1.:1, Micrococcales.Micrococcaceae:1, Elsterales.Elsteraceae:1, Rhizobiales.Stappiaceae:1, Pasteurellales.Pasteurellaceae:1, Oceanospirillales.Marinomonadaceae:1, Frankiales.Acidothermaceae:1, Micrococcales.Demequinaceae:1, Oceanospirillales.Hahellaceae:1, Streptosporangiales.Streptosporangiaceae:1"
"photoautotrophy"	0.9	287	0.35	17	"nan:118, Synechococcales.Cyanobiaceae:99, Ectothiorhodospirales.Ectothiorhodospiraceae:25, Phormidesmiales.Nodosilineaceae:6, Nostocales.Microcystaceae:6, Rhodobacterales.Rhodobacteraceae:4"	"Chromatiales.Chromatiaceae:5, Nostocales.Cyanobacteriaceae:5, Nostocales.Chroococcidiopsaceae:4, Rhizobiales.Xanthobacteraceae:3, Pseudanabaenales.Pseudanabaenaceae:3, Synechococcales.Prochlorotrichaceae:2, Nostocales.Nostocaceae:2, Nostocales.Xenococcaceae:2, Nostocales.Coleofasciculaceae:1, Nostocales.Phormidiaceae:1, Synechococcales.Synechococcaceae:1"
"oxygenic_photoautotrophy"	0.92	250	0.31	13	"nan:118, Synechococcales.Cyanobiaceae:99, Phormidesmiales.Nodosilineaceae:6, Nostocales.Microcystaceae:6"	"Nostocales.Cyanobacteriaceae:5, Nostocales.Chroococcidiopsaceae:4, Pseudanabaenales.Pseudanabaenaceae:3, Synechococcales.Prochlorotrichaceae:2, Nostocales.Nostocaceae:2, Nostocales.Xenococcaceae:2, Nostocales.Coleofasciculaceae:1, Nostocales.Phormidiaceae:1, Synechococcales.Synechococcaceae:1"
"cyanobacteria"	0.92	250	0.31	13	"nan:118, Synechococcales.Cyanobiaceae:99, Phormidesmiales.Nodosilineaceae:6, Nostocales.Microcystaceae:6"	"Nostocales.Cyanobacteriaceae:5, Nostocales.Chroococcidiopsaceae:4, Pseudanabaenales.Pseudanabaenaceae:3, Synechococcales.Prochlorotrichaceae:2, Nostocales.Nostocaceae:2, Nostocales.Xenococcaceae:2, Nostocales.Coleofasciculaceae:1, Nostocales.Phormidiaceae:1, Synechococcales.Synechococcaceae:1"
"aliphatic_non_methane_hydrocarbon_degradation"	0.25	8	0.2	5	"Oceanospirillales.Alcanivoracaceae:2"	"Pseudomonadales.Moraxellaceae:2, Corynebacteriales.Nocardiaceae:2, Oceanospirillales.Saccharospirillaceae:1, Salinisphaerales.Solimonadaceae:1"
"hydrocarbon_degradation"	0.07	73	0.23	13	"Oceanospirillales.Alcanivoracaceae:2, Rhizobiales.Beijerinckiaceae:2, Cellvibrionales.Porticoccaceae:1"	"Methylococcales.Methylomonaceae:43, Methylococcales.Methylococcaceae:8, Oceanospirillales.Halomonadaceae:4, Alteromonadales.Marinobacteraceae:4, Pseudomonadales.Moraxellaceae:2, Corynebacteriales.Nocardiaceae:2, Methylomirabilales.Methylomirabilaceae:2, Oceanospirillales.Saccharospirillaceae:1, Salinisphaerales.Solimonadaceae:1, Holophagales.Holophagaceae:1"
"chloroplasts"	1	562	1	1	"nan:562"	""
"intracellular_parasites"	0.26	1276	0.24	17	"nan:115, Coxiellales.Coxiellaceae:82, Rickettsiales.Rickettsiaceae:81, Legionellales.Legionellaceae:52"	"Rickettsiales.Mitochondria:694, Chlamydiales.Simkaniaceae:84, Rickettsiales.SM2D12:36, Chlamydiales.cvE6:25, Chlamydiales.Chlamydiaceae:22, Rickettsiales.AB1:20, Chlamydiales.Parachlamydiaceae:19, Rickettsiales.Midichloriaceae:18, Holosporales.Holosporaceae:18, Rickettsiales.S25.593:5, Chlamydiales.Criblamydiaceae:3, Chlamydiales.Waddliaceae:1, Rickettsiales.bac2nit3:1"
"nitrification"	0.23	145	0.43	7	"Nitrospirales.Nitrospiraceae:25, Nitrosopumilales.Nitrosopumilaceae:7, Nitrospinales.Nitrospinaceae:2"	"Betaproteobacteriales.Nitrosomonadaceae:98, Nitrososphaerales.Nitrososphaeraceae:8, Nitrosotaleales.Nitrosotaleaceae:4, Betaproteobacteriales.Gallionellaceae:1"
