"nfxn"	"ntax"	"n_tax_classif"	"n_tax_not_classif"	"sig_fxns"	"corr_fxns"	"sig_tax_grps"	"cor_tax_grps"	"classif_tax"	"unclassif_tax"	"ntax_overlap"	"nfxn_overlap"
"CHLA"	6	10	4	6	"oxygenic_photoautotrophy:0.36, fermentation:-0.28, chloroplasts:0.19, respiration_of_sulfur_compounds:-0.15, nitrate_reduction:-0.13, dark_hydrogen_oxidation:-0.11"	"oxygenic_photoautotrophy:0.22, fermentation:-0.54, chloroplasts:0.28, respiration_of_sulfur_compounds:-0.43, nitrate_reduction:-0.43, dark_hydrogen_oxidation:-0.08"	"Desulfobulbaceae:-0.43, Cyanobiaceae:0.2, Desulfobacteraceae:-0.18, Litoricolaceae:-0.17, Gimesiaceae:-0.14, Rhizobiales_Incertae_Sedis:0.13, Anaerolineaceae:-0.13, SAR116_clade:-0.1, Unknown_Family:-0.06, Actinomarinaceae:-0.06"	"Desulfobulbaceae:-0.54, Cyanobiaceae:0.24, Desulfobacteraceae:-0.47, Litoricolaceae:-0.15, Gimesiaceae:-0.27, Rhizobiales_Incertae_Sedis:0.05, Anaerolineaceae:-0.46, SAR116_clade:-0.16, Unknown_Family:0, Actinomarinaceae:-0.38"	"Desulfobacterales.Desulfobulbaceae, Synechococcales.Cyanobiaceae, Desulfobacterales.Desulfobacteraceae, Anaerolineales.Anaerolineaceae"	"Planctomycetales.Gimesiaceae, Puniceispirillales.SAR116_clade, Actinomarinales.Actinomarinaceae, Oceanospirillales.Litoricolaceae, Rhizobiales.Rhizobiales_Incertae_Sedis, Gammaproteobacteria_Incertae_Sedis.Unknown_Family"	NA	NA
"PHEO"	6	10	1	9	"cellulolysis:0.2, aerobic_nitrite_oxidation:0.18, sulfite_respiration:0.16, chloroplasts:0.14, dark_hydrogen_oxidation:0.11, anoxygenic_photoautotrophy_S_oxidizing:-0.07"	"cellulolysis:0.42, aerobic_nitrite_oxidation:0.49, sulfite_respiration:0.33, chloroplasts:0.23, dark_hydrogen_oxidation:0.32, anoxygenic_photoautotrophy_S_oxidizing:-0.01"	"Woeseiaceae:0.14, Nitrospiraceae:0.12, AKYH767:0.12, Rhizobiales_Incertae_Sedis:0.11, Unknown_Family:0.11, Thioalkalispiraceae:0.06, Roseiflexaceae:0.06, Cyanobiaceae:-0.05, Thiohalorhabdaceae:0.04, Prolixibacteraceae:0.04"	"Woeseiaceae:0.36, Nitrospiraceae:0.58, AKYH767:0.55, Rhizobiales_Incertae_Sedis:0.45, Unknown_Family:0.35, Thioalkalispiraceae:0.42, Roseiflexaceae:0.36, Cyanobiaceae:-0.26, Thiohalorhabdaceae:0.08, Prolixibacteraceae:0.28"	"Nitrospirales.Nitrospiraceae"	"Steroidobacterales.Woeseiaceae, Sphingobacteriales.AKYH767, Ectothiorhodospirales.Thioalkalispiraceae, Chloroflexales.Roseiflexaceae, Thiohalorhabdales.Thiohalorhabdaceae, Bacteroidales.Prolixibacteraceae, Rhizobiales.Rhizobiales_Incertae_Sedis, Gammaproteobacteria_Incertae_Sedis.Unknown_Family, Synechococcales.Cyanobiaceae"	NA	NA
"DO"	11	17	3	14	"chloroplasts:0.27, anoxygenic_photoautotrophy_S_oxidizing:-0.15, anoxygenic_photoautotrophy:-0.14, cyanobacteria:0.13, oxygenic_photoautotrophy:0.13, intracellular_parasites:-0.1, methanol_oxidation:0.09, aliphatic_non_methane_hydrocarbon_degradation:-0.09, methylotrophy:0.09, sulfur_respiration:-0.08, dark_oxidation_of_sulfur_compounds:-0.07"	"chloroplasts:0.43, anoxygenic_photoautotrophy_S_oxidizing:-0.45, anoxygenic_photoautotrophy:-0.45, cyanobacteria:0.07, oxygenic_photoautotrophy:0.07, intracellular_parasites:-0.21, methanol_oxidation:0.17, aliphatic_non_methane_hydrocarbon_degradation:-0.19, methylotrophy:0.16, sulfur_respiration:-0.43, dark_oxidation_of_sulfur_compounds:-0.25"	"Gimesiaceae:-0.2, Chitinivibrionaceae:-0.15, Pedosphaeraceae:-0.14, Magnetococcaceae:-0.1, Cyanobiaceae:0.1, Pirellulaceae:-0.09, Desulfobulbaceae:-0.08, Oligoflexaceae:-0.08, Halieaceae:0.07, Methylophilaceae:0.06, Porticoccaceae:0.05, 67:-0.05, DEV007:0.05, NS11:-0.04, Litoricolaceae:0.04, NA:-0.04, Bdellovibrionaceae:-0.03"	"Gimesiaceae:-0.42, Chitinivibrionaceae:-0.53, Pedosphaeraceae:-0.33, Magnetococcaceae:-0.51, Cyanobiaceae:0.14, Pirellulaceae:-0.25, Desulfobulbaceae:-0.28, Oligoflexaceae:-0.07, Halieaceae:0.24, Methylophilaceae:0.19, Porticoccaceae:0.36, 67:-0.28, DEV007:0.18, NS11:-0.01, Litoricolaceae:0.18, NA:-0.01, Bdellovibrionaceae:-0.03"	"Synechococcales.Cyanobiaceae, Betaproteobacteriales.Methylophilaceae, nan"	"Planctomycetales.Gimesiaceae, Chitinivibrionales.Chitinivibrionaceae, Pedosphaerales.Pedosphaeraceae, Oligoflexales.Oligoflexaceae, Cellvibrionales.Halieaceae, Solirubrobacterales.67.14, Verrucomicrobiales.DEV007, Sphingobacteriales.NS11.12_marine_group, Magnetococcales.Magnetococcaceae, Pirellulales.Pirellulaceae, Desulfobacterales.Desulfobulbaceae, Cellvibrionales.Porticoccaceae, Oceanospirillales.Litoricolaceae, Bdellovibrionales.Bdellovibrionaceae"	NA	NA
"NO3F"	2	3	1	2	"photoheterotrophy:0.8, aerobic_nitrite_oxidation:0.39"	"photoheterotrophy:0.49, aerobic_nitrite_oxidation:0.5"	"Beijerinckiaceae:0.4, Gemmatimonadaceae:0.31, Burkholderiaceae:0.3"	"Beijerinckiaceae:0.7, Gemmatimonadaceae:0.62, Burkholderiaceae:0.6"	"Betaproteobacteriales.Burkholderiaceae"	"Gemmatimonadales.Gemmatimonadaceae, Rhizobiales.Beijerinckiaceae"	NA	NA
"NO2F"	5	4	1	7	"nitrification:0.34, aerobic_nitrite_oxidation:0.17, chemoheterotrophy:-0.09, nitrogen_respiration:0.08, respiration_of_sulfur_compounds:0.07"	"nitrification:0.47, aerobic_nitrite_oxidation:0.34, chemoheterotrophy:-0.04, nitrogen_respiration:0.12, respiration_of_sulfur_compounds:0.22"	"Nitrosopumilaceae:0.49, Blfdi19:0.21, 67:0.16, Rhodospirillaceae:0.06"	"Nitrosopumilaceae:0.4, Blfdi19:0.19, 67:0.3, Rhodospirillaceae:0.17"	"Nitrosopumilales.Nitrosopumilaceae"	"Myxococcales.Blfdi19, Solirubrobacterales.67.14, Rhodospirillales.Rhodospirillaceae, NA, NA, NA, NA"	NA	NA
"PC"	4	10	2	8	"aerobic_nitrite_oxidation:0.18, cyanobacteria:-0.14, manganese_oxidation:0.14, aerobic_ammonia_oxidation:-0.11"	"aerobic_nitrite_oxidation:0.33, cyanobacteria:-0.05, manganese_oxidation:0.6, aerobic_ammonia_oxidation:-0.24"	"Litoricolaceae:-0.13, Bacteroidetes_vadinHA17:0.13, Burkholderiaceae:0.12, Fimbriimonadaceae:0.12, Acidiferrobacteraceae:0.1, Gimesiaceae:-0.09, Cyanobiaceae:-0.08, Desulfobulbaceae:-0.07, Unknown_Family:0.07, Woeseiaceae:0.05"	"Litoricolaceae:-0.53, Bacteroidetes_vadinHA17:0.57, Burkholderiaceae:0.56, Fimbriimonadaceae:0.62, Acidiferrobacteraceae:0.55, Gimesiaceae:-0.41, Cyanobiaceae:-0.07, Desulfobulbaceae:-0.21, Unknown_Family:0.21, Woeseiaceae:0.09"	"Betaproteobacteriales.Burkholderiaceae, Synechococcales.Cyanobiaceae"	"Bacteroidales.Bacteroidetes_vadinHA17, Fimbriimonadales.Fimbriimonadaceae, Acidiferrobacterales.Acidiferrobacteraceae, Planctomycetales.Gimesiaceae, Steroidobacterales.Woeseiaceae, Oceanospirillales.Litoricolaceae, Desulfobacterales.Desulfobulbaceae, Gammaproteobacteria_Incertae_Sedis.Unknown_Family"	NA	NA
"SALINITY"	13	12	6	6	"dark_sulfide_oxidation:0.2, sulfate_respiration:0.14, aerobic_ammonia_oxidation:0.13, methylotrophy:-0.13, methanotrophy:-0.13, dark_hydrogen_oxidation:-0.13, aerobic_nitrite_oxidation:-0.12, nitrate_reduction:0.11, nitrogen_fixation:-0.11, aerobic_chemoheterotrophy:0.1, dark_oxidation_of_sulfur_compounds:0.09, predatory_or_exoparasitic:0.06, sulfur_respiration:-0.05"	"dark_sulfide_oxidation:0.48, sulfate_respiration:0.36, aerobic_ammonia_oxidation:0.28, methylotrophy:-0.13, methanotrophy:-0.33, dark_hydrogen_oxidation:-0.3, aerobic_nitrite_oxidation:-0.28, nitrate_reduction:0.21, nitrogen_fixation:-0.28, aerobic_chemoheterotrophy:0.2, dark_oxidation_of_sulfur_compounds:0.31, predatory_or_exoparasitic:0.09, sulfur_respiration:-0.15"	"Burkholderiaceae:-0.23, Sporichthyaceae:-0.18, env:-0.13, Nisaeaceae:0.1, DEV007:0.1, Roseiflexaceae:-0.08, Actinomarinaceae:0.08, Gemmatimonadaceae:-0.08, Hyphomonadaceae:0.05, Thiotrichaceae:0.05, Sva1033:0.03, Desulfobulbaceae:0.03"	"Burkholderiaceae:-0.66, Sporichthyaceae:-0.36, env:-0.55, Nisaeaceae:0.62, DEV007:0.5, Roseiflexaceae:-0.63, Actinomarinaceae:0.59, Gemmatimonadaceae:-0.59, Hyphomonadaceae:0.45, Thiotrichaceae:0.59, Sva1033:0.49, Desulfobulbaceae:0.3"	"Betaproteobacteriales.Burkholderiaceae, Frankiales.Sporichthyaceae, Thalassobaculales.Nisaeaceae, Caulobacterales.Hyphomonadaceae, Thiotrichales.Thiotrichaceae, Desulfobacterales.Desulfobulbaceae"	"Sphingobacteriales.env.OPS_17, Verrucomicrobiales.DEV007, Chloroflexales.Roseiflexaceae, Actinomarinales.Actinomarinaceae, Gemmatimonadales.Gemmatimonadaceae, Desulfuromonadales.Sva1033"	10	4
"Latitude"	14	18	8	10	"methanotrophy:0.25, dark_hydrogen_oxidation:0.21, nitrogen_fixation:0.16, dark_thiosulfate_oxidation:0.12, nitrate_reduction:-0.12, aerobic_ammonia_oxidation:-0.12, methylotrophy:-0.1, aerobic_chemoheterotrophy:-0.09, predatory_or_exoparasitic:-0.09, dark_sulfide_oxidation:-0.07, sulfur_respiration:0.07, chloroplasts:-0.05, denitrification:-0.04, nitrite_denitrification:-0.04"	"methanotrophy:0.5, dark_hydrogen_oxidation:0.47, nitrogen_fixation:0.46, dark_thiosulfate_oxidation:0.39, nitrate_reduction:-0.2, aerobic_ammonia_oxidation:-0.13, methylotrophy:-0.02, aerobic_chemoheterotrophy:-0.22, predatory_or_exoparasitic:-0.12, dark_sulfide_oxidation:-0.22, sulfur_respiration:0.39, chloroplasts:-0.18, denitrification:-0.11, nitrite_denitrification:-0.11"	"Litoricolaceae:-0.17, DEV007:-0.16, Balneolaceae:-0.11, Nisaeaceae:-0.11, TRA3:0.1, Caldilineaceae:0.07, Microcystaceae:-0.06, PS1_clade:-0.06, Mycoplasmataceae:0.06, Sporichthyaceae:0.06, Desulfovibrionaceae:0.05, Rhizobiales_Incertae_Sedis:0.05, Saprospiraceae:-0.04, Ilumatobacteraceae:0.04, Peptostreptococcaceae:0.04, Cyanobiaceae:-0.03, env:0.03, Magnetococcaceae:0.02"	"Litoricolaceae:-0.49, DEV007:-0.6, Balneolaceae:-0.48, Nisaeaceae:-0.54, TRA3:0.64, Caldilineaceae:0.32, Microcystaceae:-0.31, PS1_clade:-0.54, Mycoplasmataceae:0.48, Sporichthyaceae:0.24, Desulfovibrionaceae:0.34, Rhizobiales_Incertae_Sedis:0.4, Saprospiraceae:-0.3, Ilumatobacteraceae:0.16, Peptostreptococcaceae:0.51, Cyanobiaceae:-0.24, env:0.53, Magnetococcaceae:0.27"	"Oceanospirillales.Litoricolaceae, Thalassobaculales.Nisaeaceae, Mycoplasmatales.Mycoplasmataceae, Frankiales.Sporichthyaceae, Desulfovibrionales.Desulfovibrionaceae, Rhizobiales.Rhizobiales_Incertae_Sedis, Chitinophagales.Saprospiraceae, Magnetococcales.Magnetococcaceae"	"Verrucomicrobiales.DEV007, Balneolales.Balneolaceae, Betaproteobacteriales.TRA3.20, Caldilineales.Caldilineaceae, Parvibaculales.PS1_clade, Microtrichales.Ilumatobacteraceae, Sphingobacteriales.env.OPS_17, Nostocales.Microcystaceae, Clostridiales.Peptostreptococcaceae, Synechococcales.Cyanobiaceae"	10	4
"faith_pd"	14	23	8	15	"aliphatic_non_methane_hydrocarbon_degradation:0.36, anoxygenic_photoautotrophy:0.16, photoautotrophy:0.13, sulfate_respiration:0.13, manganese_oxidation:-0.12, aerobic_ammonia_oxidation:0.09, photoheterotrophy:-0.08, nitrite_respiration:-0.08, methanol_oxidation:0.07, nitrate_denitrification:-0.07, plant_pathogen:-0.06, nitrate_respiration:0.06, fermentation:-0.04, chloroplasts:-0.03"	"aliphatic_non_methane_hydrocarbon_degradation:0.65, anoxygenic_photoautotrophy:0.54, photoautotrophy:0.46, sulfate_respiration:0.46, manganese_oxidation:-0.62, aerobic_ammonia_oxidation:0.37, photoheterotrophy:-0.35, nitrite_respiration:-0.32, methanol_oxidation:0.31, nitrate_denitrification:-0.31, plant_pathogen:-0.53, nitrate_respiration:0.05, fermentation:-0.02, chloroplasts:-0.04"	"AEGEAN:0.2, Alcanivoracaceae:0.14, Nitrosopumilaceae:0.13, Phycisphaeraceae:0.1, Cyanobiaceae:0.08, Magnetospiraceae:0.06, Balneolaceae:0.05, Cryomorphaceae:0.05, Clade_III:0.05, SAR116_clade:0.04, Ectothiorhodospiraceae:0.04, Parvibaculaceae:0.03, Pirellulaceae:0.03, Pedosphaeraceae:0.03, Lenti:0.03, Ilumatobacteraceae:0.02, Clostridiaceae_1:0.02, Rhodobacteraceae:0.02, Anaerolineaceae:0.02, Kangiellaceae:0.02, Desulfobacteraceae:0.02, Rhodothermaceae:0.02, Legionellaceae:0.02"	"AEGEAN:0.76, Alcanivoracaceae:0.73, Nitrosopumilaceae:0.59, Phycisphaeraceae:0.68, Cyanobiaceae:0.67, Magnetospiraceae:0.71, Balneolaceae:0.59, Cryomorphaceae:0.55, Clade_III:0.68, SAR116_clade:0.65, Ectothiorhodospiraceae:0.61, Parvibaculaceae:0.62, Pirellulaceae:0.68, Pedosphaeraceae:0.6, Lenti:0.57, Ilumatobacteraceae:0.66, Clostridiaceae_1:0.38, Rhodobacteraceae:0.28, Anaerolineaceae:0.39, Kangiellaceae:0.25, Desulfobacteraceae:0.43, Rhodothermaceae:0.62, Legionellaceae:0.39"	"Oceanospirillales.Alcanivoracaceae, Nitrosopumilales.Nitrosopumilaceae, Synechococcales.Cyanobiaceae, Ectothiorhodospirales.Ectothiorhodospiraceae, Clostridiales.Clostridiaceae_1, Rhodobacterales.Rhodobacteraceae, Anaerolineales.Anaerolineaceae, Desulfobacterales.Desulfobacteraceae"	"Rhodospirillales.AEGEAN.169_marine_group, Phycisphaerales.Phycisphaeraceae, Balneolales.Balneolaceae, Puniceispirillales.SAR116_clade, Parvibaculales.Parvibaculaceae, Pedosphaerales.Pedosphaeraceae, Oligosphaerales.Lenti.02, Microtrichales.Ilumatobacteraceae, Rhodothermales.Rhodothermaceae, Rhodospirillales.Magnetospiraceae, Flavobacteriales.Cryomorphaceae, SAR11_clade.Clade_III, Pirellulales.Pirellulaceae, Oceanospirillales.Kangiellaceae, Legionellales.Legionellaceae"	NA	NA
"Year"	8	8	1	7	"methanol_oxidation:0.09, methylotrophy:0.08, nitrogen_respiration:0.04, anoxygenic_photoautotrophy_S_oxidizing:-0.03, animal_parasites_or_symbionts:0.03, nitrate_reduction:0.03, predatory_or_exoparasitic:0.03, chloroplasts:0.02"	"methanol_oxidation:0.62, methylotrophy:0.57, nitrogen_respiration:0.34, anoxygenic_photoautotrophy_S_oxidizing:-0.09, animal_parasites_or_symbionts:0.25, nitrate_reduction:0.19, predatory_or_exoparasitic:0.19, chloroplasts:0.23"	"Methylophilaceae:0.1, Clade_III:0.06, Pirellulaceae:-0.04, Halieaceae:0.04, Litoricolaceae:0.04, DEV007:0.04, Puniceicoccaceae:0.03, 67:-0.03"	"Methylophilaceae:0.67, Clade_III:0.29, Pirellulaceae:0, Halieaceae:0.59, Litoricolaceae:0.55, DEV007:0.44, Puniceicoccaceae:0.3, 67:-0.06"	"Betaproteobacteriales.Methylophilaceae"	"Cellvibrionales.Halieaceae, Verrucomicrobiales.DEV007, Solirubrobacterales.67.14, SAR11_clade.Clade_III, Pirellulales.Pirellulaceae, Oceanospirillales.Litoricolaceae, Opitutales.Puniceicoccaceae"	NA	NA
