Samples	CollectionAgency
SB062716TAWCSCB33CD12BR2TR1I87	Preheim
SB062716TAWCSCB33CD1BR2TR1I80	Preheim
SB071116TAWCSCB22D11BR2TR2I616	DNR
SB071116TAWCSCB33CD24BR1TR2I611	DNR
SB071116TAWCSCB51D33BR1TR1I153	DNR
SB071116TAWCSCB52D29BR1TR2I619	DNR
SB071116TAWCSCB53D25BR2TR2I615	DNR
SB071316TAWCSCB22D11BR2TR2I613	DNR
SB072516TAWCSCB33CD0BR1TR2I620	Preheim
SB072516TAWCSCB33CD22BR1TR1I123	Preheim
SB072516TAWCSCB33CD6BR1TR1I104	Preheim
SB072516TAWCSCB33CD8BR1TR1I107	Preheim
SB081216TAWCSCB22D11BR1TR2I617	DNR
SB081216TAWCSCB32D10BR1TR2I621	DNR
SB081216TAWCSCB33CD0BR1TR1I126	Preheim
SB081216TAWCSCB33CD13BR1TR1I134	Preheim
SB081216TAWCSCB33CD16BR2TR1I138	Preheim
SB081216TAWCSCB33CD18BR1TR1I140	Preheim
SB081216TAWCSCB33CD24BR1TR2I623	DNR
SB081216TAWCSCB33CD8BR1TR1I130	Preheim
SB081216TAWCSCB41CD31BR1TR2I618	DNR
SB081216TAWCSCB42CD26BR2TR1I612	DNR
SB081216TAWCSCB53D25BR2TR2I189	DNR
SB082916TAWCSCB43CD26BR1TR2I220	DNR
SB082916TAWCSCB53D25BR1TR2I610	DNR
SB083116TAWCSCB22D11BR2TR2I622	DNR
94_AmirControl_R1	Preheim
95_FiltCtrl_Surface_R1	
SB041117TAWCSCB22D11BR2TR1I288	DNR
SB041117TAWCSCB31D13BR1TR1I289	DNR
SB041117TAWCSCB32D10BR2TR1I290	DNR
SB041117TAWCSCB33CD24BR1TR1I291	DNR
SB041117TAWCSCB33CD5BR1TR1I286	DNR
SB041117TAWCSCB42CD26BR1TR1I293	DNR
SB041117TAWCSCB43CD27BR1TR1I294	DNR
SB041117TAWCSCB44D31BR1TR1I295	DNR
SB041117TAWCSCB51D33BR1TR1I296	DNR
SB041117TAWCSCB53D5BR1TR1I284	DNR
SB041117TAWCSCB54D25BR1TR1I300	ODU
SB041117TAWCSCB54D25BR2TR1I310	ODU
SB041117TAWCSCB62D9BR1TR1I303	ODU
SB041117TAWCSCB62D9BR1TR1I312	ODU
SB041117TAWCSCB63D10BR1TR1I304	ODU
SB041117TAWCSCB63D10BR2TR1I313	ODU
SB041117TAWCSCB71D20BR1TR1I306	ODU
SB041117TAWCSCB71D20BR2TR1I315	ODU
SB041117TAWCSCB72D20BR1TR1I307	ODU
SB041117TAWCSCB72D20BR1TR1I316	ODU
SB041117TAWCSCB73D12BR1TR1I308	ODU
SB041117TAWCSCB73D12BR1TR1I317	ODU
SB050817TAWCSCB22D11BR1TR1I322	DNR
SB050817TAWCSCB31D13BR1TR1I323	DNR
SB050817TAWCSCB32D10BR2TR1I324	DNR
SB050817TAWCSCB33CD24BR1TR1I325	DNR
SB050817TAWCSCB33CD5BR1TR1I320	DNR
SB050817TAWCSCB42CD26BR1TR1I327	DNR
SB050817TAWCSCB43CD27BR1TR1I328	DNR
SB050817TAWCSCB44D31BR1TR1I329	DNR
SB050817TAWCSCB51D33BR1TR1I330	DNR
SB050817TAWCSCB53D25BR2TR1I333	DNR
SB050817TAWCSCB53D5BR1TR1I318	DNR
SB050817TAWCSCB54D25BR1TR1I334	ODU
SB050817TAWCSCB54D25BR1TR1I343	ODU
SB050817TAWCSCB61D11BR1TR1I345	ODU
SB050817TAWCSCB62D9BR1TR1I337	ODU
SB050817TAWCSCB62D9BR1TR1I346	ODU
SB050817TAWCSCB63D10BR1TR1I338	ODU
SB050817TAWCSCB63D10BR2TR1I347	ODU
SB050817TAWCSCB71D20BR1TR1I340	ODU
SB050817TAWCSCB71D20BR2TR1I349	ODU
SB050817TAWCSCB72D20BR1TR1I341	ODU
SB050817TAWCSCB72D20BR1TR1I350	ODU
SB050817TAWCSCB73D12BR1TR1I342	ODU
SB050817TAWCSCB73D12BR1TR1I351	ODU
SB060517TAWCSCB22D11BR2TR1I356	DNR
SB060517TAWCSCB31D13BR1TR1I357	DNR
