	Samples	DepthName	DateMMDDYY	Time	StationName	CollectionAgency	sum_horiz_dist	sum_vert_dist	sum_downwelling	sum_upwelling	north_lim	south_lim	east_lim	west_lim	up_lim	down_lim
3010	SB062716TAWCSCB33CD21BR1TR1I92	21.0	62716.0	11:06:00	CB33C	Preheim	3478.196720648077	4163.318628734997	-4147.467411734998	15.851216999999998	0.008507000000001597	-0.13375899999999774	-0.009545000000002801	-0.0559975000000037	18.630971975	9.583537750000001
3311	SB071116TAWCSCB22D11BR2TR2I616	11.0	71316.0	10:12:00	CB22	DNR	1122.7288833663315	2241.14550278	-2240.2584747799997	0.8870280000000008	0.022673500000003344	-0.01335824999999602	0.021482499999990523	-0.02536749999997312	9.372697725	5.796304725
6321	SB072516TAWCSCB33CD22BR1TR1I123	22.0	72516.0	10:00:00	CB33C	Preheim	3089.421171781029	4524.8353122056005	-4520.5770462056	4.258265999999999	-0.002943250000001285	-0.12209200000000209	-0.011435000000005857	-0.050382499999997776	19.341116	10.7373035
6622	SB071116TAWCSCB33CD24BR1TR2I611	24.0	71216.0	15:20:00	CB33C	DNR	4830.7043266123055	4537.345007969003	-4531.135307969003	6.209699999999998	-0.06005274999999699	-0.19689574999999593	-0.02008249999998668	-0.07160250000001156	19.983302225	11.146326499999999
6923	SB071116TAWCSCB43CD26BR1TR1I151	27.0	71216.0	10:12:00	CB43C	DNR	3406.6295617824503	6065.741627863	-6065.741627863	0.0	0.020184000000000424	-0.10114799999999491	0.09468999999999994	0.023150000000001114	24.05996595	18.084371575
7224	SB071116TAWCSCB44D30BR1TR1I152	31.0	71116.0	15:45:00	CB44	DNR	6742.732800890976	6377.944925729997	-6377.944925729997	0.0	-0.1282394999999994	-0.26792224999999803	0.10607250000002466	0.04116000000001918	24.2487054	18.981677499999996
7525	SB071116TAWCSCB51D33BR1TR1I153	33.0	71116.0	14:49:00	CB51	DNR	2897.4296413523266	7945.953077891002	-7945.953077891002	0.0	0.009445249999991745	-0.07956825000000123	0.06017499999998677	0.012282500000011964	31.1369122	22.925941
7826	SB071116TAWCSCB52D29BR1TR2I619	29.0	71116.0	13:34:00	CB52	DNR	8708.710889994396	4607.534726710002	-4607.534726710002	0.0	-0.1980912499999974	-0.31939224999999993	0.07150250000000824	0.028667499999997403	19.472649575	11.368863000000001
8127	SB071116TAWCSCB53D25BR2TR2I615	25.0	71116.0	12:14:00	CB53	DNR	8522.664133265758	4517.679016920002	-4517.679016920002	0.0	-0.2101012499999939	-0.29016524999999405	0.07860000000000866	0.005407500000004006	17.15997835	12.480464750000001
8428	SB071116TAWCSCB54D25BR1TR1I157	25.0	71216.0	09:31:00	CB54	ODU	5431.664758580762	4361.281083806997	-4361.281083806997	0.0	-0.11505424999999292	-0.18538999999999817	0.09220249999999908	0.011727499999977908	16.274872075	12.433971
