Retained 0.312352383595792 ( 160 , 160 )
Retained 0.348821588154552 ( 160 , 160 )
Retained 0.582266389795313 ( 160 , 160 )
Retained 0.426306856912326 ( 160 , 160 )
Retained 0.630274417232222 ( 160 , 160 )
Retained 0.578080157915246 ( 160 , 160 )
Retained 0.327901231929358 ( 160 , 160 )
Retained 0.242616950342955 ( 160 , 160 )
Retained 0.616770751262919 ( 160 , 160 )
Retained 0.567102252789669 ( 160 , 160 )
Retained 0.624389107976677 ( 160 , 160 )
Retained 0.404739773637654 ( 160 , 160 )
Retained 0.505319165525694 ( 160 , 160 )
Retained 0.625543456973875 ( 160 , 160 )
Retained 0.258165986278695 ( 160 , 160 )
Retained 0.446114246645128 ( 160 , 160 )
Retained 0.488997013910494 ( 160 , 160 )
Python 3.7.3
SB062716TAWCSCB33CD6BR1TR1I83_F_filt.fastq:170255 reads
SB062716TAWCSCB33CD14BR1TR1I88_F_filt.fastq:183867 reads
SB062716TAWCSCB33CD0BR2TR1I78_F_filt.fastq:119288 reads
SB062716TAWCSCB33CDEBBR1TR1I94_F_filt.fastq:191649 reads
SB062716TAWCSCB33CDSBBR1TR1I93_F_filt.fastq:48505 reads
SB062716TAWCSCB33CD18BR1TR1I90_F_filt.fastq:203242 reads
SB062716TAWCSCB33CD1BR1TR1I79_F_filt.fastq:184109 reads
SB062716TAWCSCB33CD8BR1TR1I84_F_filt.fastq:162022 reads
SB062716TAWCSCB33CD4BR1TR1I82_F_filt.fastq:206463 reads
SB062716TAWCSCB33CD10BR1TR1I85_F_filt.fastq:179160 reads
SB062716TAWCSCB33CD20BR1TR1I91_F_filt.fastq:107777 reads
SB062716TAWCSCB33CD16BR1TR1I89_F_filt.fastq:209328 reads
SB062716TAWCSCB33CD12BR1TR1I86_F_filt.fastq:196282 reads
SB062716TAWCSLABDPCBR1TR1I602_F_filt.fastq:152459 reads
SB062716TAWCSLABDNCBR1TR1I601_F_filt.fastq:133108 reads
SB062716TAWCSCB33CD21BR1TR1I92_F_filt.fastq:212929 reads
SB062716TAWCSCB33CD2BR1TR1I81_F_filt.fastq:202016 reads
SB062716TAWCSCB33CD20BR1TR1I91_R_filt.fastq:107777 reads
SB062716TAWCSCB33CD2BR1TR1I81_R_filt.fastq:202016 reads
SB062716TAWCSLABDNCBR1TR1I601_R_filt.fastq:133108 reads
SB062716TAWCSCB33CD16BR1TR1I89_R_filt.fastq:209328 reads
SB062716TAWCSCB33CD12BR1TR1I86_R_filt.fastq:196282 reads
SB062716TAWCSCB33CDSBBR1TR1I93_R_filt.fastq:48505 reads
SB062716TAWCSCB33CD14BR1TR1I88_R_filt.fastq:183867 reads
SB062716TAWCSCB33CD18BR1TR1I90_R_filt.fastq:203242 reads
SB062716TAWCSCB33CD1BR1TR1I79_R_filt.fastq:184109 reads
SB062716TAWCSCB33CD8BR1TR1I84_R_filt.fastq:162022 reads
SB062716TAWCSCB33CD6BR1TR1I83_R_filt.fastq:170255 reads
SB062716TAWCSCB33CD0BR2TR1I78_R_filt.fastq:119288 reads
SB062716TAWCSCB33CD21BR1TR1I92_R_filt.fastq:212929 reads
SB062716TAWCSCB33CDEBBR1TR1I94_R_filt.fastq:191649 reads
SB062716TAWCSCB33CD10BR1TR1I85_R_filt.fastq:179160 reads
SB062716TAWCSCB33CD4BR1TR1I82_R_filt.fastq:206463 reads
SB062716TAWCSLABDPCBR1TR1I602_R_filt.fastq:152459 reads
null device 
          1 
