Retained 0.345887740700165 ( 160 , 160 )
Retained 0.33650855585338 ( 160 , 160 )
Retained 0.334187771139958 ( 160 , 160 )
Retained 0.354154737131232 ( 160 , 160 )
Retained 0.355127478526612 ( 160 , 160 )
Retained 0.353132155839165 ( 160 , 160 )
Retained 0.322117399863106 ( 160 , 160 )
Retained 0.345601928634455 ( 160 , 160 )
Retained 0.330142031243736 ( 160 , 160 )
Retained 0.336917907392703 ( 160 , 160 )
Retained 0.353911083516172 ( 160 , 160 )
Retained 0.334450989820241 ( 160 , 160 )
Retained 0.336678179477223 ( 160 , 160 )
Retained 0.345534827414949 ( 160 , 160 )
Retained 0.34191144805084 ( 160 , 160 )
Retained 0.343331188682974 ( 160 , 160 )
Retained 0.355637225899708 ( 160 , 160 )
Retained 0.364729899380488 ( 160 , 160 )
Retained 0.330181130850225 ( 160 , 160 )
Retained 0.33548280876986 ( 160 , 160 )
Retained 0.328069816246097 ( 160 , 160 )
Retained 0.340577098174196 ( 160 , 160 )
Retained 0.333062132046391 ( 160 , 160 )
Retained 0.346347827470447 ( 160 , 160 )
Retained 0.348267376439315 ( 160 , 160 )
Retained 0.359153140626253 ( 160 , 160 )
Retained 0.3614915237248 ( 160 , 160 )
Retained 0.35290571497468 ( 160 , 160 )
Retained 0.31980421686747 ( 160 , 160 )
Retained 0.348102112825467 ( 160 , 160 )
Python 3.7.3
SB092116TAWCSLABDNCBR1TR1I247_F_filt.fastq:79029 reads
SB082916TAWCSCB53D25BR1TR2I610_F_filt.fastq:107450 reads
SB071116TAWCSCB33CD24BR1TR2I611_F_filt.fastq:152147 reads
SB072516TAWCSCB33CD8BR1TR1I107_F_filt.fastq:130071 reads
SB092616TAWCSLABDNABR1TR1I268_F_filt.fastq:4247 reads
SB062716TAWCSCB33CD1BR2TR1I80_F_filt.fastq:119015 reads
SB071116TAWCSCB52D29BR1TR2I619_F_filt.fastq:176422 reads
SB081216TAWCSCB33CD16BR2TR1I138_F_filt.fastq:195814 reads
SB081216TAWCSCB33CD18BR1TR1I140_F_filt.fastq:113894 reads
SB081216TAWCSCB53D25BR2TR2I189_F_filt.fastq:174152 reads
SBMix9TAWCSLABDPCBR1TR2I270_F_filt.fastq:106647 reads
SB071116TAWCSCB53D25BR2TR2I615_F_filt.fastq:121417 reads
SB071116TAWCSCB51D33BR1TR1I153_F_filt.fastq:177329 reads
SB082916TAWCSCB43CD26BR1TR2I220_F_filt.fastq:102322 reads
SB081216TAWCSCB33CD13BR1TR1I134_F_filt.fastq:153280 reads
SB081216TAWCSCB33CD24BR1TR2I623_F_filt.fastq:134486 reads
SB081216TAWCSCB41CD31BR1TR2I618_F_filt.fastq:163461 reads
SB081216TAWCSCB22D11BR1TR2I617_F_filt.fastq:222635 reads
SB072516TAWCSCB33CD0BR1TR2I620_F_filt.fastq:189418 reads
SB081216TAWCSCB32D10BR1TR2I621_F_filt.fastq:202455 reads
SB072516TAWCSCB33CD6BR1TR1I104_F_filt.fastq:177273 reads
SB081216TAWCSCB33CD0BR1TR1I126_F_filt.fastq:163289 reads
SB072516TAWCSCB33CDSBBR1TR1I125_F_filt.fastq:32948 reads
SB071316TAWCSCB22D11BR2TR2I613_F_filt.fastq:159412 reads
SB083116TAWCSCB22D11BR2TR2I622_F_filt.fastq:144255 reads
SB081216TAWCSCB42CD26BR2TR1I612_F_filt.fastq:131816 reads
