Retained 0 ( 160 , 160 )
Retained 0.364445233954761 ( 160 , 160 )
Retained 0.370901242582658 ( 160 , 160 )
Retained 0.00545149566675985 ( 160 , 160 )
Retained 0.246841101442365 ( 160 , 160 )
Retained 0.252873563218391 ( 160 , 160 )
Retained 0.275016246439958 ( 160 , 160 )
Retained 0.279835792496358 ( 160 , 160 )
Retained 0.353982300884956 ( 160 , 160 )
Retained 0.25 ( 160 , 160 )
Retained 0.339656640462565 ( 160 , 160 )
Retained 0.183270870835424 ( 160 , 160 )
Retained 0.262489595275863 ( 160 , 160 )
Retained 0.27450423466226 ( 160 , 160 )
Retained 0.218281334266601 ( 160 , 160 )
Retained 0.353283577788664 ( 160 , 160 )
Retained 0.241379310344828 ( 160 , 160 )
Retained 0.144988120658025 ( 160 , 160 )
Retained 0.300469139177956 ( 160 , 160 )
Retained 0.399889469561205 ( 160 , 160 )
Retained 0.248843370494835 ( 160 , 160 )
Retained 0.26238358556461 ( 160 , 160 )
Retained 0.232931443193771 ( 160 , 160 )
Retained 0.156780680357277 ( 160 , 160 )
Retained 0.211574881098414 ( 160 , 160 )
Retained 0.15512392714013 ( 160 , 160 )
Retained 0.341737366538288 ( 160 , 160 )
Retained 0.321150337754549 ( 160 , 160 )
Retained 0.333693484042553 ( 160 , 160 )
Retained 0.305838764637477 ( 160 , 160 )
Retained 0.301121751889308 ( 160 , 160 )
Retained 0.181818181818182 ( 160 , 160 )
Retained 0.245759446684146 ( 160 , 160 )
Retained 0.345324088614017 ( 160 , 160 )
Retained 0.258384891669563 ( 160 , 160 )
Retained 0.199723643258326 ( 160 , 160 )
Retained 0.319024727320383 ( 160 , 160 )
Retained 0.264285714285714 ( 160 , 160 )
Retained 0.307270668872849 ( 160 , 160 )
Retained 0.307178004810344 ( 160 , 160 )
Retained 0.0931457395776668 ( 160 , 160 )
Retained 0.291434687442748 ( 160 , 160 )
Retained 0.283980178418451 ( 160 , 160 )
Retained 0.257834134965748 ( 160 , 160 )
Retained 0.238867895126417 ( 160 , 160 )
Retained 0.240859202909687 ( 160 , 160 )
Retained 0.183169779119761 ( 160 , 160 )
Retained 0.19859914155975 ( 160 , 160 )
Retained 0.337457262153756 ( 160 , 160 )
Retained 0.361704164017583 ( 160 , 160 )
Retained 0.337948383988867 ( 160 , 160 )
Retained 0.33848015630012 ( 160 , 160 )
Retained 0.360801378821401 ( 160 , 160 )
Retained 0.323002711498542 ( 160 , 160 )
Retained 0.382326259654596 ( 160 , 160 )
Retained 0.378624062601891 ( 160 , 160 )
Retained 0.274621217596434 ( 160 , 160 )
Retained 0.44015024833404 ( 160 , 160 )
Retained 0.571428571428571 ( 160 , 160 )
Retained 0.4 ( 160 , 160 )
Retained 0.172815819315557 ( 160 , 160 )
Retained 0.0816254660119898 ( 160 , 160 )
Retained 0 ( 160 , 160 )
Retained 0.214943475331287 ( 160 , 160 )
Retained 0.306005854698541 ( 160 , 160 )
Retained 0.223245303506642 ( 160 , 160 )
Retained 0.016417141814638 ( 160 , 160 )
Retained 0.430332775595236 ( 160 , 160 )
Retained 0.235250332299513 ( 160 , 160 )
Python 3.7.3
SB061815TAWCSCB33CD7BR1TR1I10_F_filt.fastq:90114 reads
SB082015TAWCSCB33CD15BR1TR1I67_F_filt.fastq:23215 reads
SB061815TAWCSCB33CD11BR1TR1I15_F_filt.fastq:16566 reads
SB072215TAWCSCB33CD12BR1TR1I40_F_filt.fastq:49867 reads
SB072215TAWCSCB33CD5BR1TR1I32_F_filt.fastq:37 reads
SB061815TAWCSCB33CD0BR1TR1I3_F_filt.fastq:116941 reads
SB061815TAWCSCB33CD15BR1TR1I19_F_filt.fastq:320 reads
SB082015TAWCSCB33CD8BR1TR1I59_F_filt.fastq:60856 reads
SB082015TAWCSCB33CDEBBR1TR1I76_F_filt.fastq:235071 reads
SB061815TAWCSCB33CD17BR1TR1I21_F_filt.fastq:34306 reads
SB082015TAWCSCB33CD1BR1TR1I52_F_filt.fastq:189989 reads
SB072215TAWCSCB33CD10BR1TR1I37_F_filt.fastq:60610 reads
SB082015TAWCSCB33CD16BR1TR1I68_F_filt.fastq:147584 reads
SB072215TAWCSCB33CD11BR1TR1I39_F_filt.fastq:36075 reads
SB072215TAWCSCB33CD13BR1TR1I41_F_filt.fastq:26053 reads
SB061815TAWCSCB33CDEBBR1TR1I23_F_filt.fastq:69976 reads
SB061815TAWCSCB33CD12BR1TR1I16_F_filt.fastq:22 reads
SB072215TAWCSCB33CD22BR1TR1I46_F_filt.fastq:14294 reads
SB061815TAWCSCB33CD13BR1TR1I17_F_filt.fastq:63056 reads
SB061815TAWCSCB33CD2BR1TR1I5_F_filt.fastq:74417 reads
SB072215TAWCSCB33CD0BR1TR1I27_F_filt.fastq:59350 reads
SB061815TAWCSCB33CD14BR1TR1I18_F_filt.fastq:40150 reads
SB082015TAWCSCB33CD9BR1TR1I60_F_filt.fastq:7109 reads
SB082015TAWCSCB33CD12BR1TR1I64_F_filt.fastq:43724 reads
SB061815TAWCSCB33CD10BR2TR1I14_F_filt.fastq:39 reads
SB082015TAWCSCB33CD20BR1TR1I74_F_filt.fastq:70542 reads
SB072215TAWCSCB33CD10BR2TR1I38_F_filt.fastq:39325 reads
SB082015TAWCSCB33CD4BR1TR1I55_F_filt.fastq:20165 reads
SB082015TAWCSCB33CD21BR1TR1I75_F_filt.fastq:4 reads
SB061815TAWCSCB33CD16BR1TR1I20_F_filt.fastq:1 reads
SB082015TAWCSCB33CD18BR1TR1I70_F_filt.fastq:135285 reads
SB072215TAWCSCB33CDEBBR1TR1I47_F_filt.fastq:93812 reads
SB082015TAWCSCB33CD7BR1TR1I58_F_filt.fastq:73487 reads
SB072215TAWCSCB33CD14BR1TR1I42_F_filt.fastq:20075 reads
SB082015TAWCSCB33CDSBBR1TR1I50_F_filt.fastq:26548 reads
SB082015TAWCSCB33CD0BR1TR1I51_F_filt.fastq:24526 reads
SB082015TAWCSCB33CD2BR1TR1I53_F_filt.fastq:2 reads
SB061815TAWCSCB33CD8BR1TR1I11_F_filt.fastq:74529 reads
SB082015TAWCSCB33CD10BR1TR1I61_F_filt.fastq:75229 reads
SB082015TAWCSCB33CD14BR1TR1I66_F_filt.fastq:37883 reads
